"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that a too long display name (101 bytes) throws the 'shorter display name' error as expected.","13255","Onboarding long name @ios @low-risk @1-devices","Onboarding","Fri Dec 19 17:03:24 AEDT 2025","passed","Fri Dec 19 17:03:38 AEDT 2025","","Input validations","",""
"","50844","Send link 1:1 @ios @high-risk @2-devices","","Fri Dec 19 17:15:09 AEDT 2025","passed","Fri Dec 19 17:16:00 AEDT 2025","","message_link_preview.spec.ts","",""
"","40818","Hide recovery password @ios @medium-risk @2-devices","","Fri Dec 19 17:24:50 AEDT 2025","passed","Fri Dec 19 17:25:31 AEDT 2025","","user_actions_hide_recovery_password.spec.ts","",""
"Verifies that 'Disappear After Read' can be set in a 1:1 conversation, and that a message disappears after the specified expiry time.","176292","Disappear after read @ios @high-risk @2-devices","Disappearing Messages","Fri Dec 19 16:26:51 AEDT 2025","failed","Fri Dec 19 16:29:48 AEDT 2025","","Conversation Types","",""
"Verifies that a group member can be kicked from a group and that the kicked member is removed from the group.","59004","Kick member @ios @medium-risk @3-devices","Groups","Fri Dec 19 17:02:20 AEDT 2025","failed","Fri Dec 19 17:03:19 AEDT 2025","","Edit Group","",""
"","35154","Delete message request in list @ios @high-risk @2-devices","","Fri Dec 19 17:18:32 AEDT 2025","passed","Fri Dec 19 17:19:07 AEDT 2025","","message_requests_delete.spec.ts","",""
"Verifies message length behavior at 1800 characters - countdown shows 200, message sends","57425","Message length limit (1800 chars) @ios @high-risk @1-devices","Sending Messages","Fri Dec 19 17:13:55 AEDT 2025","passed","Fri Dec 19 17:14:53 AEDT 2025","","Rules","",""
"","15602","Onboarding terms of service @ios @high-risk @1-devices","","Fri Dec 19 17:21:19 AEDT 2025","passed","Fri Dec 19 17:21:35 AEDT 2025","","onboarding_tos.spec.ts","",""
"Verifies that a user's avatar color is consistent across linked devices.","23504","Avatar color linked device @ios @medium-risk @2-devices","Visual Checks","Fri Dec 19 17:04:12 AEDT 2025","passed","Fri Dec 19 17:04:35 AEDT 2025","","Onboarding","",""
"Verifies that mentions can be sent to a group, and that all participants see them correctly.","48707","Mentions for groups @ios @medium-risk @3-devices","Sending Messages","Fri Dec 19 17:02:36 AEDT 2025","passed","Fri Dec 19 17:03:24 AEDT 2025","","Mentions","",""
"","27034","Change username @ios @medium-risk @1-devices","","Fri Dec 19 17:22:55 AEDT 2025","passed","Fri Dec 19 17:23:22 AEDT 2025","","user_actions_change_username.spec.ts","",""
"Verifies that the landing page for a restored account matches the expected baseline","29119","Check landing page (restored account) layout @ios @low-risk @2-devices","Visual Checks","Fri Dec 19 17:03:58 AEDT 2025","passed","Fri Dec 19 17:04:27 AEDT 2025","","Onboarding","",""
"","63674","Send long message 1:1 @ios @low-risk @2-devices","","Fri Dec 19 17:15:44 AEDT 2025","passed","Fri Dec 19 17:16:48 AEDT 2025","","message_long_text.spec.ts","",""
"Verifies that only admins can enable Disappearing Messages in a group","60297","Group member disappearing messages @ios @medium-risk @3-devices","Disappearing Messages","Fri Dec 19 16:46:43 AEDT 2025","failed","Fri Dec 19 16:47:43 AEDT 2025","","Rules","",""
"Verifies that the in-app review prompt shows after the user sets a different theme","20184","Review prompt Appearance trigger @ios @high-risk @1-devices","In-App Review Prompt","Fri Dec 19 17:22:16 AEDT 2025","passed","Fri Dec 19 17:22:36 AEDT 2025","","Triggers","",""
