"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that an image can be sent and received in a community","60649","Send image to community @android @medium-risk @2-devices","Sending Messages","Fri Nov 21 16:43:54 AEDT 2025","passed","Fri Nov 21 16:44:54 AEDT 2025","","Message types","",""
"","28614","User Profile Modal Home Screen @android @high-risk @2-devices","","Fri Nov 21 16:59:27 AEDT 2025","passed","Fri Nov 21 16:59:56 AEDT 2025","","upm_homescreen.spec.ts","",""
"Verifies that the in-app review prompt only shows shows once after triggered","23703","Review prompt only once @android @medium-risk @1-devices","In-App Review Prompt","Fri Nov 21 16:37:30 AEDT 2025","passed","Fri Nov 21 16:37:54 AEDT 2025","","Triggers","",""
"Sends a message 10 times in a 1-1 and logs the sending time","47645","Check performance @android @low-risk @2-devices","Sending Messages","Fri Nov 21 16:53:22 AEDT 2025","passed","Fri Nov 21 16:54:09 AEDT 2025","","Performance","",""
"Verifies that global deletion in a group deletes a message for every participant.","36916","Delete message for all in group @android @high-risk @3-devices","User Actions","Fri Nov 21 17:19:37 AEDT 2025","passed","Fri Nov 21 17:20:14 AEDT 2025","","Delete Message","",""
"","35324","Unsend message @android @high-risk @2-devices","","Fri Nov 21 16:57:52 AEDT 2025","passed","Fri Nov 21 16:58:28 AEDT 2025","","message_unsend.spec.ts","",""
"Verifies that a user's avatar color is consistent across linked devices.","21373","Avatar color linked device @android @medium-risk @2-devices","Visual Checks","Fri Nov 21 16:52:05 AEDT 2025","passed","Fri Nov 21 16:52:26 AEDT 2025","","Onboarding","",""
"Verifies that a PDF can be sent to a group, all members receive the document, and replying to a document works as expected","68757","Send document to group @android @high-risk @3-devices","Sending Messages","Fri Nov 21 17:14:26 AEDT 2025","passed","Fri Nov 21 17:15:35 AEDT 2025","","Message types","",""
"Verifies that a call control message disappears as expected in a 1:1 conversation","75220","Disappearing call message 1o1 @android @low-risk @2-devices","Disappearing Messages","Fri Nov 21 16:46:05 AEDT 2025","passed","Fri Nov 21 16:47:21 AEDT 2025","","Message Types","",""
"","63468","Send document 1:1 @android @high-risk @2-devices","","Fri Nov 21 16:54:38 AEDT 2025","passed","Fri Nov 21 16:55:41 AEDT 2025","","message_document.spec.ts","",""
"Verifies that an emoji reaction can be sent and is received in a community","52069","Send emoji react community @android @medium-risk @2-devices","Sending Messages","Fri Nov 21 16:42:51 AEDT 2025","passed","Fri Nov 21 16:43:43 AEDT 2025","","Emoji reacts","",""
"Verifies that a user can be blocked from the home screen long press menu","45447","Block user in conversation list @android @high-risk @2-devices","User Actions","Fri Nov 21 16:59:36 AEDT 2025","passed","Fri Nov 21 17:00:21 AEDT 2025","","Block/Unblock","",""
"Verifies that a too long display name (101 bytes) throws the 'shorter display name' error as expected.","11258","Onboarding long name @android @low-risk @1-devices","Onboarding","Fri Nov 21 16:35:48 AEDT 2025","passed","Fri Nov 21 16:36:00 AEDT 2025","","Input validations","",""
"Verifies that a user can share an image from the photo gallery to Session","48088","Share to session @android @medium-risk @2-devices","User Actions","Fri Nov 21 17:01:32 AEDT 2025","passed","Fri Nov 21 17:02:20 AEDT 2025","","Share to Session","",""
"","88580","Block message request in conversation @android @high-risk @3-devices","","Fri Nov 21 17:40:42 AEDT 2025","passed","Fri Nov 21 17:42:11 AEDT 2025","","message_requests_block.spec.ts","",""
"","45106","Delete contact from conversation settings @android @high-risk @3-devices","User Actions","Fri Nov 21 17:44:26 AEDT 2025","passed","Fri Nov 21 17:45:11 AEDT 2025","","Delete Contact","",""
"Verifies the alternate icon set on the App Disguise page is applied","37626","App disguise set icon @android @medium-risk @1-devices","Settings","Fri Nov 21 16:35:13 AEDT 2025","passed","Fri Nov 21 16:35:51 AEDT 2025","","App Disguise","",""
"","15169","Onboarding terms of service @android @high-risk @1-devices","","Fri Nov 21 16:37:15 AEDT 2025","passed","Fri Nov 21 16:37:30 AEDT 2025","","onboarding_tos.spec.ts","",""
"Verifies that a username change syncs to a linked device.","27844","Change username linked device @android @medium-risk @2-devices","User Actions","Fri Nov 21 16:52:20 AEDT 2025","passed","Fri Nov 21 16:52:48 AEDT 2025","","Change Username","",""
"Verifies that the latest release banner is present on the Edit Group screen","26861","Edit group banner @android @medium-risk @3-devices","Groups","Fri Nov 21 17:27:53 AEDT 2025","passed","Fri Nov 21 17:28:20 AEDT 2025","","Edit Group","",""
"Verifies that only admins can enable Disappearing Messages in a group","26843","Group member disappearing messages @android @medium-risk @3-devices","Disappearing Messages","Fri Nov 21 17:10:19 AEDT 2025","passed","Fri Nov 21 17:10:46 AEDT 2025","","Rules","",""
"Verifies that an emoji reaction can be sent and is received in a group.","40793","Send emoji react groups @android @high-risk @3-devices","Sending Messages","Fri Nov 21 17:22:24 AEDT 2025","passed","Fri Nov 21 17:23:05 AEDT 2025","","Emoji reacts","",""
"Verifies that a link with preview can be sent to a group, all members receive the document, and replying to a document works as expected","55830","Send link to group @android @high-risk @3-devices","Sending Messages","Fri Nov 21 17:17:56 AEDT 2025","passed","Fri Nov 21 17:18:52 AEDT 2025","","Message types","",""
"Verifies that the Network Page refreshes and updates the ""Last updated"" timestamp correctly.","113480","Network page refresh @android @low-risk @1-devices","Network Page","Fri Nov 21 16:40:46 AEDT 2025","failed","Fri Nov 21 16:42:39 AEDT 2025","","network_page_refresh_page.spec.ts","",""
"Verifies that a group name change syncs to every member.","34717","Change group name @android @medium-risk @3-devices","Groups","Fri Nov 21 17:25:04 AEDT 2025","passed","Fri Nov 21 17:25:39 AEDT 2025","","Edit Group","",""
"","39481","Hide recovery password @android @medium-risk @2-devices","","Fri Nov 21 17:00:21 AEDT 2025","passed","Fri Nov 21 17:01:01 AEDT 2025","","user_actions_hide_recovery_password.spec.ts","",""
"Verifies that the Notifications settings screen layout matches the expected baseline","22452","Check Notifications settings layout @android @high-risk @1-devices","Visual Checks","Fri Nov 21 16:38:56 AEDT 2025","passed","Fri Nov 21 16:39:18 AEDT 2025","","Settings","",""
