"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that a voice note disappears as expected in a group conversation","62857","Disappearing voice message to group @ios @low-risk @3-devices","Disappearing Messages","2026-03-11","failed","2026-03-11","","Message Types","",""
"Verifies that a message request can be sent when Community Message Requests are on.","49087","Community message requests on @ios @medium-risk @2-devices","Settings","2026-03-11","passed","2026-03-11","","Community Message Requests","",""
"Verifies that a community invite disappears as expected in a 1:1 conversation","110022","Disappearing community invite message 1:1 @ios @low-risk @2-devices","Disappearing Messages","2026-03-11","passed","2026-03-11","","Message Types","",""
"Verifies that a call control message disappears as expected in a 1:1 conversation","210876","Disappearing call message 1:1 @ios @low-risk @2-devices","Disappearing Messages","2026-03-11","passed","2026-03-11","","Message Types","",""
"Mocks a custom install date 6 days, 23 hours, and 58 minutes ago, opens the app, and verifies that the Donate CTA does not show.","14833","Donate CTA does not show if app installed <7 days ago @ios @high-risk @1-devices","Donations","2026-03-11","passed","2026-03-11","","cta_donate_time.spec.ts","",""
"Verifies that an emoji reaction can be sent and is received in a community","52524","Send emoji react community @ios @medium-risk @2-devices","Sending Messages","2026-03-11","passed","2026-03-11","","Emoji reacts","",""
"Verifies that a video disappears as expected in a group conversation","34960","Disappearing video to group @ios @low-risk @3-devices","Disappearing Messages","2026-03-11","failed","2026-03-11","","Message Types","",""
"Verifies that an image can be sent and received in a community","52103","Send image to community @ios @medium-risk @2-devices","Sending Messages","2026-03-11","passed","2026-03-11","","Message types","",""
"Verifies that an image disappears as expected in a 1:1 conversation","117765","Disappearing image message 1:1 @ios @low-risk @2-devices","Disappearing Messages","2026-03-11","failed","2026-03-11","","Message Types","",""
"Mocks a custom install date 7 days 2 minutes ago, opens the app, and verifies that the Donate CTA is shown.","16038","Donate CTA shows if app installed >=7 days ago @ios @high-risk @1-devices","Donations","2026-03-11","passed","2026-03-11","","cta_donate_time.spec.ts","",""
"Verifies that local deletion in a group does not delete a message for other participants.","41267","Delete message locally in group @ios @high-risk @3-devices","User Actions","2026-03-11","passed","2026-03-11","","Delete Message","",""
"Verifies the default selected timer for each DM mode in a 1:1 conversation","36453","Disappearing messages defaults 1:1 @ios @medium-risk @2-devices","Disappearing Messages","2026-03-11","passed","2026-03-11","","Conversation Types","",""
"Verifies that a GIF disappears as expected in a 1:1 conversation","85502","Disappearing GIF message 1:1 @ios @low-risk @2-devices","Disappearing Messages","2026-03-11","failed","2026-03-11","","Message Types","",""
"Verifies that a link preview disappears as expected in a group conversation","98515","Disappearing link to group @ios @low-risk @3-devices","Disappearing Messages","2026-03-11","passed","2026-03-11","","Message Types","",""
