"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that Disappearing Messages can be set in Note to Self, and that a message disappears after the specified expiry time.","75678","Disappear after send note to self @android @medium-risk @1-devices","Disappearing Messages","Mon Jan 12 17:13:00 AEDT 2026","passed","Mon Jan 12 17:14:16 AEDT 2026","","Conversation Types","",""
"Verifies that inviting a contact (Android: without chat history) works as expected.","87184","Invite contact to group without chat history @android @high-risk @4-devices","Groups","Mon Jan 12 18:02:19 AEDT 2026","passed","Mon Jan 12 18:03:46 AEDT 2026","","Edit Group","",""
"","66274","Delete message request in conversation @android @high-risk @3-devices","","Mon Jan 12 18:26:19 AEDT 2026","passed","Mon Jan 12 18:27:25 AEDT 2026","","message_requests_decline.spec.ts","",""
"Verifies that mentions can be sent to a group, and that all participants see them correctly.","49180","Mentions for groups @android @medium-risk @3-devices","Sending Messages","Mon Jan 12 18:11:41 AEDT 2026","passed","Mon Jan 12 18:12:30 AEDT 2026","","Mentions","",""
"Verifies that a user's avatar color is consistent across linked devices.","20263","Avatar color linked device @android @medium-risk @2-devices","Visual Checks","Mon Jan 12 17:29:02 AEDT 2026","passed","Mon Jan 12 17:29:23 AEDT 2026","","Onboarding","",""
"Verifies that a long message can be sent to a group","90448","Send long message to group @android @low-risk @3-devices","Sending Messages","Mon Jan 12 17:56:24 AEDT 2026","failed","Mon Jan 12 17:57:54 AEDT 2026","","Message types","",""
"","63676","Create contact @android @high-risk @3-devices","","Mon Jan 12 18:27:25 AEDT 2026","passed","Mon Jan 12 18:28:29 AEDT 2026","","user_actions_create_contact.spec.ts","",""
"","28098","User Profile Modal Home Screen @android @high-risk @2-devices","","Mon Jan 12 17:36:26 AEDT 2026","passed","Mon Jan 12 17:36:54 AEDT 2026","","upm_homescreen.spec.ts","",""
"Verifies message length behavior at 2001 characters - countdown shows -1, cannot send message","29752","Message length limit (2001 chars) @android @high-risk @1-devices","Sending Messages","Mon Jan 12 17:14:24 AEDT 2026","passed","Mon Jan 12 17:14:53 AEDT 2026","","Rules","",""
"Verifies that a blocked user syncs to a linked device","38101","Block user linked device @android @high-risk @3-devices","User Actions","Mon Jan 12 18:13:47 AEDT 2026","passed","Mon Jan 12 18:14:25 AEDT 2026","","Block/Unblock","",""
"","28675","Change username @android @medium-risk @1-devices","","Mon Jan 12 17:15:58 AEDT 2026","passed","Mon Jan 12 17:16:26 AEDT 2026","","user_actions_change_username.spec.ts","",""
"Verifies that a group member can be kicked from a group and that the kicked member is removed from the group.","37347","Kick member @android @medium-risk @3-devices","Groups","Mon Jan 12 18:10:22 AEDT 2026","passed","Mon Jan 12 18:11:00 AEDT 2026","","Edit Group","",""
"Verifies that the landing page for a restored account matches the expected baseline","30030","Check landing page (restored account) layout @android @low-risk @2-devices","Visual Checks","Mon Jan 12 17:28:39 AEDT 2026","passed","Mon Jan 12 17:29:09 AEDT 2026","","Onboarding","",""
"Verifies that a voice message can be sent to a group, all members receive the document, and replying to a document works as expected","50392","Send voice message to group @android @high-risk @3-devices","Sending Messages","Mon Jan 12 17:59:43 AEDT 2026","passed","Mon Jan 12 18:00:33 AEDT 2026","","Message types","",""
