"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that a group (and its messages) created on one device appears when restoring on a second device.","81049","Restore group @android @high-risk @4-devices","Groups","2026-07-09","failed","2026-07-09","","Create Group","",""
"Verifies that 'Delete for everyone' in a 1-1 deletes the message in the conversation view and on the home screen for both parties and a linked device.","3194","Unsent message syncs @android @medium-risk @3-devices","User Actions","2026-07-09","failed","2026-07-09","","Delete Message","",""
"Verifies that the ""Learn More"" link on the Network Page for Staking opens the correct URL in the device browser.","23177","Network page learn more staking link @android @medium-risk @1-devices","Network Page","2026-07-09","passed","2026-07-09","","network_page_link_staking.spec.ts","",""
"Verifies that a community admin can ban a user. 
    The banned user cannot send a message.
    The banned account is restored on a second device. 
    Admin then unbans the user, and they can send messages on both devices.","93761","Ban and unban user in community - linked device @android @medium-risk @3-devices","User Actions","2026-07-09","failed","2026-07-09","","Ban/Unban","",""
"Verifies that the Privacy settings screen layout matches the expected baseline","14563","Check Privacy settings layout @android @high-risk @1-devices","Visual Checks","2026-07-09","passed","2026-07-09","","Settings","",""
"Verifies that the Notifications settings screen layout matches the expected baseline","18507","Check Notifications settings layout @android @high-risk @1-devices","Visual Checks","2026-07-09","passed","2026-07-09","","Settings","",""
"Verifies that the recovery password banner only shows after the user has at least three conversations.","49308","Recovery password banner only shows after 3 conversations @android @medium-risk @1-devices","Settings","2026-07-09","failed","2026-07-09","","Recovery Password","",""
"Verifies that the Session Network Page displays the values fetched from the network API correctly.","15467","Network page values @android @medium-risk @1-devices","Network Page","2026-07-09","passed","2026-07-09","","network_page_values.spec.ts","",""
"","3204","Delete conversation from conversation list @android @high-risk @3-devices","User Actions","2026-07-09","failed","2026-07-09","","Delete Conversation","",""
"Verifies that the Network Page refreshes and updates the ""Last updated"" timestamp correctly.","80784","Network page refresh @android @low-risk @1-devices","Network Page","2026-07-09","passed","2026-07-09","","network_page_refresh_page.spec.ts","",""
"","115499","Delete message request in conversation @android @high-risk @3-devices","","2026-07-09","failed","2026-07-09","","message_requests_decline.spec.ts","",""
"","114324","Create contact @android @high-risk @3-devices","","2026-07-09","failed","2026-07-09","","user_actions_create_contact.spec.ts","",""
"Verifies that mentions can be sent to a group, and that all participants see them correctly.","3238","Mentions for groups @android @medium-risk @3-devices","Sending Messages","2026-07-09","failed","2026-07-09","","Mentions","",""
"Verifies message length behavior at 1800 characters - countdown shows 200, message sends (non Pro)","27139","Message length limit (1800 chars non Pro) @android @high-risk @1-devices","Sending Messages","2026-07-09","passed","2026-07-09","","Rules","",""
"Verifies that a voice message can be sent to a group, all members receive it, and replying to it works as expected","3187","Send voice message to group @android @high-risk @3-devices","Sending Messages","2026-07-09","failed","2026-07-09","","Message types","",""
"Verifies that the recovery password banner does not disappear if the conversation count drops below 3","44482","Recovery password banner persists with less than 3 conversations @android @medium-risk @1-devices","Settings","2026-07-09","failed","2026-07-09","","Recovery Password","",""
"Verifies that the ""Learn More"" link on the Network Page opens the correct URL in the device browser.","23936","Network page learn more network link @android @medium-risk @1-devices","Network Page","2026-07-09","passed","2026-07-09","","network_page_link_network.spec.ts","",""
"Verifies that the 'Invite a Friend' share functionality opens the native share sheet and the user's Account ID is present in the message.","22614","Invite a friend @android @medium-risk @1-devices","New Conversation","2026-07-09","passed","2026-07-09","","Invite a Friend","",""
"Verifies that the Settings donation link is correct and that the HTTP request is successful (200)","23881","Donate Settings menu item @android @high-risk @1-devices","Donations","2026-07-09","passed","2026-07-09","","donate.spec.ts","",""
"Verifies that ONS resolution works","15219","ONS resolution @android @high-risk @1-devices","New Conversation","2026-07-09","passed","2026-07-09","","New Message","",""
"Verifies that a GIF disappears as expected in a group conversation","3202","Disappearing GIF to group @android @low-risk @3-devices","Disappearing Messages","2026-07-09","failed","2026-07-09","","Message Types","",""
"Verifies the app can be locked with a PIN and that the system lock screen appears on app launch when enabled.","30851","Lock app @android @high-risk @1-devices","Settings","2026-07-09","passed","2026-07-09","","Privacy","",""
"Verifies that a non-admin member can leave a group successfully via the UI","3195","Leave group @android @high-risk @3-devices","Groups","2026-07-09","failed","2026-07-09","","Leave/Delete Group","",""
"","115659","Block message request in conversation @android @high-risk @3-devices","","2026-07-09","failed","2026-07-09","","message_requests_block.spec.ts","",""
"","28160","Join Community URL on Create Group - member @android @low-risk @1-devices","New Conversation","2026-07-09","passed","2026-07-09","","Join Community","",""
"Verifies that a group member can be kicked from a group and that the kicked member is removed from the group (with their messages deleted).","3193","Kick and remove messages @android @medium-risk @3-devices","Groups","2026-07-09","failed","2026-07-09","","Edit Group","",""
"Verifies that an emoji reaction can be sent and is received in a group.","3193","Send emoji react groups @android @high-risk @3-devices","Sending Messages","2026-07-09","failed","2026-07-09","","Emoji reacts","",""
"Verifies that the latest release banner is no longer present on the Edit Group screen","3251","Edit group banner @android @medium-risk @3-devices","Groups","2026-07-09","failed","2026-07-09","","Edit Group","",""
"Verifies that the Donate CTA is shown after dismissing the positive review prompt; verifies modal strings and screenshot; and that the Donate button shows the correct Open URL modal.","20820","Donate CTA shows after positive review @android @high-risk @1-devices","Donations","2026-07-09","failed","2026-07-09","","cta_donate_review.spec.ts","",""
"Verifies the slow mode background permissions modal appears, accepting it shows the system dialog.","21042","Slow mode background perms modal @android @medium-risk @1-devices","Settings","2026-07-09","passed","2026-07-09","","Notifications","",""
"Verifies the default selected timer in Note to Self","25764","Disappearing messages defaults note to self @android @medium-risk @1-devices","Disappearing Messages","2026-07-09","passed","2026-07-09","","Conversation Types","",""
"Verifies that a group description can be at most 200 chars and that every member can see a valid change.","3230","Change group description @android @medium-risk @3-devices","Groups","2026-07-09","failed","2026-07-09","","Edit Group","",""
"Verifies that local deletion in a group does not delete a message for other participants.","3200","Delete message locally in group @android @high-risk @3-devices","User Actions","2026-07-09","failed","2026-07-09","","Delete Message","",""
"Verifies that the latest release banner is present on the Invite Contacts screen","3241","Invite contacts banner @android @medium-risk @3-devices","Groups","2026-07-09","failed","2026-07-09","","Edit Group","",""
"","15320","Onboarding terms of service @android @high-risk @1-devices","","2026-07-09","passed","2026-07-09","","onboarding_tos.spec.ts","",""
"Verifies that a long message can be sent to a group","3228","Send long message to group @android @low-risk @3-devices","Sending Messages","2026-07-09","failed","2026-07-09","","Message types","",""
"Verifies that a video can be sent to a group, all members receive the document, and replying to a document works as expected","3243","Send video to group @android @medium-risk @3-devices","Sending Messages","2026-07-09","failed","2026-07-09","","Message types","",""
"Verifies Note to Self can be hidden and then unhidden/shown again in the conversation settings","74591","Hide note to self @android @low-risk @1-devices","User Actions","2026-07-09","failed","2026-07-09","","Hide Note to Self","",""
"Verifies that a previously promoted admin has admin powers on their linked device.","81338","Promote to admin (linked device) @android @medium-risk @4-devices","Groups","2026-07-09","failed","2026-07-09","","Edit Group","",""
"Verifies that a solo admin can't leave a group but is instead prompted to add admins or delete the group.","2096","Leave group as the only admin @android @high-risk @3-devices","Groups","2026-07-09","failed","2026-07-09","","Leave/Delete Group","",""
