"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies the in-app review modal texts and buttons for the positive flow (Enjoying Session - Rate App)","15179","Review prompt positive flow @android @high-risk @1-devices","In-App Review Prompt","2026-03-19","failed","2026-03-19","","Flows","",""
"Verifies message length behavior at 2001 characters - countdown shows -1, cannot send message (non Pro)","15325","Message length limit (2001 chars non Pro) @android @high-risk @1-devices","Sending Messages","2026-03-19","failed","2026-03-19","","Rules","",""
"Verifies that the Donate CTA is shown after dismissing the positive review prompt; verifies modal strings and screenshot; and that the Donate button shows the correct Open URL modal.","15033","Donate CTA shows after positive review @android @high-risk @1-devices","Donations","2026-03-19","failed","2026-03-19","","cta_donate_review.spec.ts","",""
"","14939","Create user @android @high-risk @1-devices","","2026-03-19","failed","2026-03-19","","user_actions_create_user.spec.ts","",""
"Verifies that ONS resolution works","14712","ONS resolution @android @high-risk @1-devices","New Conversation","2026-03-19","failed","2026-03-19","","New Message","",""
"Verifies the in-app review modal texts and buttons for the negative flow (Enjoying Session - Give Feedback - Open URL)","15206","Review prompt negative flow @android @high-risk @1-devices","In-App Review Prompt","2026-03-19","failed","2026-03-19","","Flows","",""
"","16788","Onboarding privacy policy @android @high-risk @1-devices","","2026-03-19","passed","2026-03-19","","onboarding_pp.spec.ts","",""
"","14480","Onboarding terms of service @android @high-risk @1-devices","","2026-03-19","passed","2026-03-19","","onboarding_tos.spec.ts","",""
"Verifies that the in-app review prompt shows after the user sets a different theme","44744","Review prompt Appearance trigger @android @high-risk @1-devices","In-App Review Prompt","2026-03-19","failed","2026-03-19","","Triggers","",""
"Verifies that the in-app review prompt shows after the user visits the Path screen in Settings","44331","Review prompt Path trigger @android @high-risk @1-devices","In-App Review Prompt","2026-03-19","failed","2026-03-19","","Triggers","",""
"Verifies message length behavior at 1800 characters - countdown shows 200, message sends (non Pro)","15795","Message length limit (1800 chars non Pro) @android @high-risk @1-devices","Sending Messages","2026-03-19","failed","2026-03-19","","Rules","",""
"Verifies message length behavior at 2000 characters - countdown shows 0, message sends (non Pro)","15136","Message length limit (2000 chars non Pro) @android @high-risk @1-devices","Sending Messages","2026-03-19","failed","2026-03-19","","Rules","",""
"Verifies that the in-app review prompt shows after the user presses the Donate button in Settings","15014","Review prompt Donate trigger @android @high-risk @1-devices","In-App Review Prompt","2026-03-19","failed","2026-03-19","","Triggers","",""
"Verifies message length behavior at 1799 characters - no countdown shows, message sends (non Pro)","15394","Message length limit (1799 chars non Pro) @android @high-risk @1-devices","Sending Messages","2026-03-19","failed","2026-03-19","","Rules","",""
"Verifies that the Settings donation link is correct and that the HTTP request is successful (200)","15293","Donate Settings menu item @android @high-risk @1-devices","Donations","2026-03-19","failed","2026-03-19","","donate.spec.ts","",""
