"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that the in-app review prompt shows after the user presses the Donate button in Settings","17871","Review prompt Donate trigger @ios @high-risk @1-devices","In-App Review Prompt","Tue Dec 16 14:58:36 AEDT 2025","passed","Tue Dec 16 14:58:54 AEDT 2025","","Triggers","",""
"","32253","Message requests clear all @ios @medium-risk @2-devices","","Tue Dec 16 14:54:24 AEDT 2025","passed","Tue Dec 16 14:54:56 AEDT 2025","","message_requests_clear_all.spec.ts","",""
"Verifies that leaving a group syncs to a linked device","115498","Leave group linked device @ios @high-risk @4-devices","Groups","Tue Dec 16 14:48:07 AEDT 2025","passed","Tue Dec 16 14:50:02 AEDT 2025","","Leave/Delete Group","",""
"Verifies that the Session Network Page displays the values fetched from the network API correctly.","16586","Network page values @ios @medium-risk @1-devices","Network Page","Tue Dec 16 14:57:10 AEDT 2025","passed","Tue Dec 16 14:57:27 AEDT 2025","","network_page_values.spec.ts","",""
"Verifies that message bubbles appear as expected (oneline and multiline messages, reply layout, outgoing/incoming)","41139","Check message bubble layout @ios @high-risk @2-devices","Visual Checks","Tue Dec 16 15:03:12 AEDT 2025","passed","Tue Dec 16 15:03:53 AEDT 2025","","Conversation","",""
"Verifies that a message request can be sent when Community Message Requests are on.","107699","Community message requests on @ios @medium-risk @2-devices","Settings","Tue Dec 16 14:23:08 AEDT 2025","passed","Tue Dec 16 14:24:56 AEDT 2025","","Community Message Requests","",""
"Verifies that the ""Learn More"" link on the Network Page opens the correct URL in the device browser.","21588","Network page learn more network link @ios @medium-risk @1-devices","Network Page","Tue Dec 16 14:56:30 AEDT 2025","passed","Tue Dec 16 14:56:52 AEDT 2025","","network_page_link_network.spec.ts","",""
"Verifies that a message request cannot be sent when Community Message Requests are off.","109901","Community message requests off @ios @medium-risk @2-devices","Settings","Tue Dec 16 14:21:39 AEDT 2025","passed","Tue Dec 16 14:23:29 AEDT 2025","","Community Message Requests","",""
"Verifies that a group of 3 can be created successfully via the UI","126256","Create group @ios @high-risk @3-devices","Groups","Tue Dec 16 14:41:08 AEDT 2025","passed","Tue Dec 16 14:43:14 AEDT 2025","","Create Group","",""
"Verifies that a user can share an image from the photo gallery to Session","67200","Share to session @ios @medium-risk @2-devices","User Actions","Tue Dec 16 15:01:23 AEDT 2025","passed","Tue Dec 16 15:02:31 AEDT 2025","","Share to Session","",""
"Verifies the in-app review modal texts and buttons for the positive flow (Enjoying Session - Rate App)","18527","Review prompt positive flow @ios @high-risk @1-devices","In-App Review Prompt","Tue Dec 16 14:59:03 AEDT 2025","failed","Tue Dec 16 14:59:22 AEDT 2025","","Flows","",""
"Verifies that 'Delete for everyone' in a 1-1 deletes the message in the conversation view and on the home screen for both parties and a linked device.","54415","Unsent message syncs @ios @medium-risk @3-devices","User Actions","Tue Dec 16 14:47:26 AEDT 2025","passed","Tue Dec 16 14:48:20 AEDT 2025","","Delete Message","",""
"Verifies that the Notifications settings screen layout matches the expected baseline","17246","Check Notifications settings layout @ios @high-risk @1-devices","Visual Checks","Tue Dec 16 15:03:31 AEDT 2025","passed","Tue Dec 16 15:03:49 AEDT 2025","","Settings","",""
"Verifies that the profile picture change on one device is reflected on a linked device.","52510","Change profile picture linked device @ios @medium-risk @2-devices","User Actions","Tue Dec 16 14:46:33 AEDT 2025","passed","Tue Dec 16 14:47:25 AEDT 2025","","Change Profile Picture","",""
"","18375","Create user @ios @high-risk @1-devices","","Tue Dec 16 14:59:48 AEDT 2025","passed","Tue Dec 16 15:00:07 AEDT 2025","","user_actions_create_user.spec.ts","",""
