"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create four accounts, create a group with three, add the fourth member","94202","Add contact to group @android @high-risk @4-devices","Groups","Mon Nov 03 14:20:15 AEDT 2025","failed","Mon Nov 03 14:21:49 AEDT 2025","","Edit Group","",""
"Verifies that the landing page for a restored account matches the expected baseline","30815","Check landing page (restored account) layout @android @low-risk @2-devices","Visual Checks","Mon Nov 03 13:48:00 AEDT 2025","passed","Mon Nov 03 13:48:31 AEDT 2025","","Onboarding","",""
"Verifies that the latest release banner is present on the Invite Contacts screen","27218","Invite contacts banner @android @medium-risk @3-devices","Groups","Mon Nov 03 14:27:20 AEDT 2025","passed","Mon Nov 03 14:27:47 AEDT 2025","","Edit Group","",""
"","46358","Onboarding privacy policy @android @high-risk @1-devices","","Mon Nov 03 13:35:18 AEDT 2025","failed","Mon Nov 03 13:36:05 AEDT 2025","","onboarding_pp.spec.ts","",""
"","82772","Block message request in conversation @android @high-risk @3-devices","","Mon Nov 03 14:44:10 AEDT 2025","passed","Mon Nov 03 14:45:33 AEDT 2025","","message_requests_block.spec.ts","",""
"Verifies that when a message is deleted on one device, it shows as deleted on a linked device too.","35964","Delete message linked device @android @high-risk @3-devices","User Actions","Mon Nov 03 14:34:33 AEDT 2025","passed","Mon Nov 03 14:35:09 AEDT 2025","","Delete Message","",""
"","60237","Accept message request @android @high-risk @3-devices","","Mon Nov 03 14:43:10 AEDT 2025","passed","Mon Nov 03 14:44:10 AEDT 2025","","message_requests_accept.spec.ts","",""
"Verifies that the profile picture change on one device is reflected on a linked device.","34934","Change profile picture linked device @android @medium-risk @2-devices","User Actions","Mon Nov 03 13:49:00 AEDT 2025","passed","Mon Nov 03 13:49:35 AEDT 2025","","Change Profile Picture","",""
"Verifies that the STF donation link is correct and that the HTTP request is successful (200)","33521","Donate linkout @android @high-risk @1-devices","Linkouts","Mon Nov 03 13:32:47 AEDT 2025","passed","Mon Nov 03 13:33:21 AEDT 2025","","donate.spec.ts","",""
"Verifies that a non-admin member can leave a group successfully via the UI","40537","Leave group @android @high-risk @3-devices","Groups","Mon Nov 03 14:28:27 AEDT 2025","passed","Mon Nov 03 14:29:08 AEDT 2025","","Leave/Delete Group","",""
"Verifies that a group created on one device appears on a linked device, and that a group name change syncs to all members.","120455","Create group and change name syncs @android @high-risk @4-devices","Groups","Mon Nov 03 14:32:31 AEDT 2025","failed","Mon Nov 03 14:34:31 AEDT 2025","","Create Group","",""
"Verifies that the Conversations settings screen layout matches the expected baseline","22738","Check Conversations settings layout @android @high-risk @1-devices","Visual Checks","Mon Nov 03 13:37:09 AEDT 2025","passed","Mon Nov 03 13:37:32 AEDT 2025","","Settings","",""
"Verifies that a group (and its messages) created on one device appears when restoring on a second device.","96591","Restore group @android @high-risk @4-devices","Groups","Mon Nov 03 14:36:48 AEDT 2025","failed","Mon Nov 03 14:38:25 AEDT 2025","","Create Group","",""
"Verifies that a group description can be at most 200 chars and that every member can see a valid change.","34816","Change group description @android @medium-risk @3-devices","Groups","Mon Nov 03 14:21:51 AEDT 2025","passed","Mon Nov 03 14:22:25 AEDT 2025","","Edit Group","",""
"Verifies that 'Delete for everyone' in a 1-1 deletes the message in the conversation view and on the home screen for both parties and a linked device.","44673","Unsent message syncs @android @medium-risk @3-devices","User Actions","Mon Nov 03 14:38:26 AEDT 2025","passed","Mon Nov 03 14:39:11 AEDT 2025","","Delete Message","",""
"","46876","Onboarding terms of service @android @high-risk @1-devices","","Mon Nov 03 13:35:18 AEDT 2025","failed","Mon Nov 03 13:36:05 AEDT 2025","","onboarding_tos.spec.ts","",""
"","39957","Delete conversation from conversation settings @android @high-risk @3-devices","User Actions","Mon Nov 03 14:48:24 AEDT 2025","passed","Mon Nov 03 14:49:04 AEDT 2025","","Delete Conversation","",""
"","10989","Onboarding no seed @android @low-risk @1-devices","","Mon Nov 03 13:33:30 AEDT 2025","passed","Mon Nov 03 13:33:41 AEDT 2025","","input_validations/onboarding_no_seed.spec.ts","",""
"","23482","Network page learn more network link @android @medium-risk @1-devices","","Mon Nov 03 13:34:09 AEDT 2025","passed","Mon Nov 03 13:34:33 AEDT 2025","","network_page_link_network.spec.ts","",""
"Verifies that the Notifications settings screen layout matches the expected baseline","25008","Check Notifications settings layout @android @high-risk @1-devices","Visual Checks","Mon Nov 03 13:37:12 AEDT 2025","passed","Mon Nov 03 13:37:37 AEDT 2025","","Settings","",""
"","10313","Onboarding wrong seed @android @low-risk @1-devices","","Mon Nov 03 13:33:31 AEDT 2025","passed","Mon Nov 03 13:33:41 AEDT 2025","","input_validations/onboarding_wrong_seed.spec.ts","",""
