"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12101","Onboarding no name @ios @low-risk @1-devices","","Tue Oct 21 14:03:09 AEDT 2025","passed","Tue Oct 21 14:03:21 AEDT 2025","","input_validations/onboarding_no_name.spec.ts","",""
"","24516","Avatar color linked device @ios @medium-risk @2-devices","","Tue Oct 21 14:03:45 AEDT 2025","passed","Tue Oct 21 14:04:09 AEDT 2025","","linked_device_avatar_color.spec.ts","",""
"Verifies Note to Self can be hidden and then unhidden/shown again in the conversation settings","39453","Hide note to self @ios @low-risk @1-devices","User Actions","Tue Oct 21 14:21:55 AEDT 2025","passed","Tue Oct 21 14:22:34 AEDT 2025","","Hide Note to Self","",""
"","37805","Hide recovery password @ios @medium-risk @2-devices","","Tue Oct 21 14:22:09 AEDT 2025","passed","Tue Oct 21 14:22:47 AEDT 2025","","user_actions_hide_recovery_password.spec.ts","",""
"Verifies that message bubbles appear as expected (oneline and multiline messages, reply layout, outgoing/incoming)","40005","Check message bubble layout @ios @high-risk @2-devices","Visual Checks","Tue Oct 21 14:23:14 AEDT 2025","passed","Tue Oct 21 14:23:54 AEDT 2025","","Conversation","",""
"Verifies that a user can share an image from the photo gallery to Session","58621","Share to session @ios @medium-risk @2-devices","User Actions","Tue Oct 21 14:22:47 AEDT 2025","passed","Tue Oct 21 14:23:45 AEDT 2025","","Share to Session","",""
"","14501","Onboarding terms of service @ios @high-risk @1-devices","","Tue Oct 21 14:18:37 AEDT 2025","passed","Tue Oct 21 14:18:51 AEDT 2025","","onboarding_tos.spec.ts","",""
"Verifies that a video disappears as expected in a 1:1 conversation","125075","Disappearing video message 1:1 @ios @low-risk @2-devices","Disappearing Messages","Tue Oct 21 13:42:28 AEDT 2025","failed","Tue Oct 21 13:44:33 AEDT 2025","","Message Types","",""
"Verifies that the in-app review prompt shows after the user visits the Path screen in Settings","19111","Review prompt Path trigger @ios @high-risk @1-devices","In-App Review Prompt","Tue Oct 21 14:19:26 AEDT 2025","passed","Tue Oct 21 14:19:45 AEDT 2025","","Triggers","",""
"Verifies that ONS resolution works","19981","ONS resolution @ios @high-risk @1-devices","New Conversation","Tue Oct 21 14:18:51 AEDT 2025","passed","Tue Oct 21 14:19:11 AEDT 2025","","New Message","",""
"","62394","Send voice message 1:1 @ios @high-risk @2-devices","","Tue Oct 21 14:16:24 AEDT 2025","passed","Tue Oct 21 14:17:26 AEDT 2025","","message_voice.spec.ts","",""
"Verifies the alternate icon set on the App Disguise page is applied","67585","App disguise set icon @ios @medium-risk @1-devices","Settings","Tue Oct 21 13:29:21 AEDT 2025","passed","Tue Oct 21 13:30:29 AEDT 2025","","App Disguise","",""
"Verifies that a video disappears as expected in a group conversation","128330","Disappearing video to group @ios @low-risk @3-devices","Disappearing Messages","Tue Oct 21 13:44:35 AEDT 2025","passed","Tue Oct 21 13:46:43 AEDT 2025","","Message Types","",""
"Verifies that a message request can be sent when Community Message Requests are on.","106536","Community message requests on @ios @medium-risk @2-devices","","Tue Oct 21 13:35:04 AEDT 2025","failed","Tue Oct 21 13:36:51 AEDT 2025","","community_requests_on.spec.ts","",""
"Verifies that 'Disappear After Send' works as expected in a 1:1 conversation","70255","Disappear after send @ios @high-risk @2-devices","Disappearing Messages","Tue Oct 21 13:38:10 AEDT 2025","passed","Tue Oct 21 13:39:20 AEDT 2025","","Conversation Types","",""
"Verifies message length behavior at 2000 characters - countdown shows 0, message sends","59863","Message length limit (2000 chars) @ios @high-risk @1-devices","Sending Messages","Tue Oct 21 14:11:48 AEDT 2025","passed","Tue Oct 21 14:12:48 AEDT 2025","","Rules","",""
"Verifies that the Notifications settings screen layout matches the expected baseline","18174","Check Notifications settings layout @ios @high-risk @1-devices","Visual Checks","Tue Oct 21 14:24:04 AEDT 2025","passed","Tue Oct 21 14:24:23 AEDT 2025","","Settings","",""
"","32764","Delete message locally @ios @high-risk @2-devices","","Tue Oct 21 14:09:23 AEDT 2025","passed","Tue Oct 21 14:09:55 AEDT 2025","","message_deletion.spec.ts","",""
"","1","Disappearing call message 1o1 @ios @low-risk @2-devices","","Tue Oct 21 13:37:19 AEDT 2025","skipped","Tue Oct 21 13:37:19 AEDT 2025","","disappearing_call.spec.ts","",""
"Verifies that an emoji reaction can be sent and is received in a community","69388","Send emoji react community @ios @medium-risk @2-devices","Sending Messages","Tue Oct 21 13:30:29 AEDT 2025","passed","Tue Oct 21 13:31:38 AEDT 2025","","Emoji reacts","",""
"Verifies that the Privacy settings screen layout matches the expected baseline","17376","Check Privacy settings layout @ios @high-risk @1-devices","Visual Checks","Tue Oct 21 14:23:47 AEDT 2025","passed","Tue Oct 21 14:24:04 AEDT 2025","","Settings","",""
"Verifies that the landing page for a restored account matches the expected baseline","30526","Check landing page (restored account) layout @ios @low-risk @2-devices","Visual Checks","Tue Oct 21 14:03:26 AEDT 2025","passed","Tue Oct 21 14:03:57 AEDT 2025","","Onboarding","",""
"Verifies the in-app review modal texts and buttons for the negative flow (Enjoying Session - Give Feedback - Open URL)","22113","Review prompt negative flow @ios @high-risk @1-devices","In-App Review Prompt","Tue Oct 21 14:19:04 AEDT 2025","passed","Tue Oct 21 14:19:26 AEDT 2025","","Flows","",""
"","59199","Create contact @ios @high-risk @3-devices","","Tue Oct 21 14:20:19 AEDT 2025","passed","Tue Oct 21 14:21:18 AEDT 2025","","user_actions_create_contact.spec.ts","",""
"","47216","Unsend message @ios @high-risk @2-devices","","Tue Oct 21 14:15:36 AEDT 2025","passed","Tue Oct 21 14:16:24 AEDT 2025","","message_unsend.spec.ts","",""
"","39396","Change username linked device @ios @medium-risk @2-devices","","Tue Oct 21 14:04:09 AEDT 2025","passed","Tue Oct 21 14:04:49 AEDT 2025","","linked_device_change_username.spec.ts","",""
"Verifies that 'Delete for everyone' in a 1-1 deletes the message in the conversation view and on the home screen for both parties and a linked device.","46810","Unsent message syncs @ios @medium-risk @3-devices","User Actions","Tue Oct 21 14:06:49 AEDT 2025","passed","Tue Oct 21 14:07:36 AEDT 2025","","Delete Message","",""
"Verifies that a community invite disappears as expected in a 1:1 conversation","117671","Disappearing community invite message 1:1 @ios @low-risk @2-devices","Disappearing Messages","Tue Oct 21 13:37:19 AEDT 2025","passed","Tue Oct 21 13:39:17 AEDT 2025","","Message Types","",""
"Verifies that only admins can enable Disappearing Messages in a group","60084","Group member disappearing messages @ios @medium-risk @3-devices","Disappearing Messages","Tue Oct 21 13:43:37 AEDT 2025","passed","Tue Oct 21 13:44:37 AEDT 2025","","Rules","",""
"Verifies message length behavior at 1799 characters - no countdown shows, message sends","58830","Message length limit (1799 chars) @ios @high-risk @1-devices","Sending Messages","Tue Oct 21 14:10:49 AEDT 2025","passed","Tue Oct 21 14:11:48 AEDT 2025","","Rules","",""
"Verifies that local deletion in a group does not delete a message for other participants.","40429","Delete message locally in group @ios @high-risk @3-devices","User Actions","Tue Oct 21 13:46:05 AEDT 2025","passed","Tue Oct 21 13:46:45 AEDT 2025","","Delete Message","",""
"","64697","Send long message 1:1 @ios @low-risk @2-devices","","Tue Oct 21 14:13:02 AEDT 2025","passed","Tue Oct 21 14:14:07 AEDT 2025","","message_long_text.spec.ts","",""
"","39066","Delete message linked device @ios @high-risk @3-devices","","Tue Oct 21 14:04:49 AEDT 2025","passed","Tue Oct 21 14:05:28 AEDT 2025","","linked_device_delete_message.spec.ts","",""
"","14303","Onboarding incorrect seed @ios @low-risk @1-devices","","Tue Oct 21 14:02:54 AEDT 2025","passed","Tue Oct 21 14:03:08 AEDT 2025","","input_validations/onboarding_incorrect_seed.spec.ts","",""
"Verifies that a user's placeholder avatar color appears the same to a contact","232415","Check placeholder avatar color @ios @medium-risk @2-devices","Visual Checks","Tue Oct 21 13:29:21 AEDT 2025","passed","Tue Oct 21 13:33:13 AEDT 2025","","Settings","",""
"","41406","Delete conversation from conversation settings @ios @high-risk @3-devices","User Actions","Tue Oct 21 14:21:47 AEDT 2025","passed","Tue Oct 21 14:22:28 AEDT 2025","","Delete Conversation","",""
"Verifies that the in-app review prompt shows after the user presses the Donate button in Settings","19350","Review prompt Donate trigger @ios @high-risk @1-devices","In-App Review Prompt","Tue Oct 21 14:19:19 AEDT 2025","passed","Tue Oct 21 14:19:38 AEDT 2025","","Triggers","",""
"Verifies that the Settings page screen layout matches the expected baseline","15548","Check Settings page layout @ios @high-risk @1-devices","Visual Checks","Tue Oct 21 14:24:19 AEDT 2025","failed","Tue Oct 21 14:24:35 AEDT 2025","","Settings","",""
