"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35337","Unsend message @ios @high-risk @2-devices","","Thu Oct 09 12:36:21 AEDT 2025","passed","Thu Oct 09 12:36:57 AEDT 2025","","message_unsend.spec.ts","",""
"Verifies that a video disappears as expected in a group conversation","157871","Disappearing video to group @ios @low-risk @3-devices","Disappearing Messages","Thu Oct 09 12:10:41 AEDT 2025","passed","Thu Oct 09 12:13:19 AEDT 2025","","Message Types","",""
"","38558","Hide recovery password @ios @medium-risk @2-devices","","Thu Oct 09 12:40:38 AEDT 2025","passed","Thu Oct 09 12:41:17 AEDT 2025","","user_actions_hide_recovery_password.spec.ts","",""
"Verifies that the Conversations settings screen layout matches the expected baseline","17745","Check Conversations settings layout @ios @high-risk @1-devices","Visual Checks","Thu Oct 09 12:42:53 AEDT 2025","passed","Thu Oct 09 12:43:10 AEDT 2025","","Settings","",""
"","66446","Change username linked device @ios @medium-risk @2-devices","","Thu Oct 09 12:27:12 AEDT 2025","passed","Thu Oct 09 12:28:19 AEDT 2025","","linked_device_change_username.spec.ts","",""
"Verifies that a user can be unblocked after being blocked","43943","Unblock user @ios @low-risk @2-devices","User Actions","Thu Oct 09 12:41:51 AEDT 2025","passed","Thu Oct 09 12:42:35 AEDT 2025","","Block/Unblock","",""
"","12245","Send document to group @ios @high-risk @3-devices","","Thu Oct 09 12:13:57 AEDT 2025","failed","Thu Oct 09 12:14:09 AEDT 2025","","group_message_document.spec.ts","",""
"Verifies that an emoji reaction can be sent and is received in a group.","52599","Send emoji react groups @ios @high-risk @3-devices","Sending Messages","Thu Oct 09 12:16:18 AEDT 2025","passed","Thu Oct 09 12:17:11 AEDT 2025","","Emoji reacts","",""
"Verifies that the profile picture can be changed and the new picture is displayed correctly.","34615","Change profile picture @ios @medium-risk @1-devices","User Actions","Thu Oct 09 12:39:02 AEDT 2025","passed","Thu Oct 09 12:39:37 AEDT 2025","","Change Profile Picture","",""
"Verifies the alternate icon set on the App Disguise page is applied","66103","App disguise set icon @ios @medium-risk @1-devices","Settings","Thu Oct 09 11:57:45 AEDT 2025","passed","Thu Oct 09 11:58:51 AEDT 2025","","App Disguise","",""
"Verifies that the profile picture change on one device is reflected on a linked device.","51540","Change profile picture linked device @ios @medium-risk @2-devices","User Actions","Thu Oct 09 12:28:35 AEDT 2025","passed","Thu Oct 09 12:29:27 AEDT 2025","","Change Profile Picture","",""
"Verifies that 'Disappear After Send' works as expected in a 1:1 conversation","86119","Disappear after send @ios @high-risk @2-devices","Disappearing Messages","Thu Oct 09 12:02:36 AEDT 2025","passed","Thu Oct 09 12:04:02 AEDT 2025","","Conversation Types","",""
"","42073","Delete conversation from conversation settings @ios @high-risk @3-devices","User Actions","Thu Oct 09 12:39:56 AEDT 2025","passed","Thu Oct 09 12:40:38 AEDT 2025","","Delete Conversation","",""
"","60778","Accept message request @ios @high-risk @3-devices","","Thu Oct 09 12:35:03 AEDT 2025","passed","Thu Oct 09 12:36:04 AEDT 2025","","message_requests_accept.spec.ts","",""
"Verifies that Disappearing Messages can be set in Note to Self, and that a message disappears after the specified expiry time.","72957","Disappear after send note to self @ios @medium-risk @1-devices","Disappearing Messages","Thu Oct 09 12:01:23 AEDT 2025","passed","Thu Oct 09 12:02:36 AEDT 2025","","Conversation Types","",""
"","50685","Check performance @ios @low-risk @2-devices","","Thu Oct 09 12:30:23 AEDT 2025","passed","Thu Oct 09 12:31:14 AEDT 2025","","message_check_performance.spec.ts","",""
"","25403","Invite a friend @ios @medium-risk @1-devices","","Thu Oct 09 12:26:25 AEDT 2025","passed","Thu Oct 09 12:26:50 AEDT 2025","","invite_a_friend_share.spec.ts","",""
"","56739","Send video 1:1 @ios @medium-risk @2-devices","","Thu Oct 09 12:36:43 AEDT 2025","passed","Thu Oct 09 12:37:40 AEDT 2025","","message_video.spec.ts","",""
"Verifies that a voice note disappears as expected in a group conversation","80638","Disappearing voice message to group @ios @low-risk @3-devices","Disappearing Messages","Thu Oct 09 12:12:38 AEDT 2025","passed","Thu Oct 09 12:13:59 AEDT 2025","","Message Types","",""
"","31124","Onboarding incorrect seed @ios @low-risk @1-devices","","Thu Oct 09 12:25:20 AEDT 2025","passed","Thu Oct 09 12:25:51 AEDT 2025","","input_validations/onboarding_incorrect_seed.spec.ts","",""
"","18495","Onboarding privacy policy @ios @high-risk @1-devices","","Thu Oct 09 12:37:50 AEDT 2025","passed","Thu Oct 09 12:38:08 AEDT 2025","","onboarding_pp.spec.ts","",""
"","53316","Send voice message 1:1 @ios @high-risk @2-devices","","Thu Oct 09 12:36:57 AEDT 2025","passed","Thu Oct 09 12:37:50 AEDT 2025","","message_voice.spec.ts","",""
"Verifies the in-app review modal texts and buttons for the positive flow (Enjoying Session - Rate App)","19780","Review prompt positive flow @ios @high-risk @1-devices","In-App Review Prompt","Thu Oct 09 12:38:29 AEDT 2025","passed","Thu Oct 09 12:38:49 AEDT 2025","","Flows","",""
"Verifies that a user can share an image from the photo gallery to Session","63117","Share to session @ios @medium-risk @2-devices","User Actions","Thu Oct 09 12:42:10 AEDT 2025","passed","Thu Oct 09 12:43:13 AEDT 2025","","Share to Session","",""
"","72669","Block message request in conversation @ios @high-risk @3-devices","","Thu Oct 09 12:35:09 AEDT 2025","passed","Thu Oct 09 12:36:21 AEDT 2025","","message_requests_block.spec.ts","",""
"Verifies Note to Self can be hidden and then unhidden/shown again in the conversation settings","40719","Hide note to self @ios @low-risk @1-devices","User Actions","Thu Oct 09 12:40:37 AEDT 2025","passed","Thu Oct 09 12:41:18 AEDT 2025","","Hide Note to Self","",""
"Verifies that a GIF disappears as expected in a group conversation","113866","Disappearing GIF to group @ios @low-risk @3-devices","Disappearing Messages","Thu Oct 09 12:08:47 AEDT 2025","passed","Thu Oct 09 12:10:41 AEDT 2025","","Message Types","",""
"","142605","Create group and change name syncs @ios @high-risk @4-devices","","Thu Oct 09 12:27:23 AEDT 2025","passed","Thu Oct 09 12:29:46 AEDT 2025","","linked_device_create_group.spec.ts","",""
"Verifies that a user can set a nickname for a contact and that it appears correctly in the conversation settings, conversation header and home screen.","33229","Set nickname @ios @high-risk @2-devices","User Actions","Thu Oct 09 12:41:18 AEDT 2025","passed","Thu Oct 09 12:41:51 AEDT 2025","","Set Nickname","",""
"Verifies that a long message can be sent to a group","75025","Send long message to group @ios @low-risk @3-devices","","Thu Oct 09 12:15:03 AEDT 2025","passed","Thu Oct 09 12:16:18 AEDT 2025","","group_message_long_text.spec.ts","",""
"","25563","Onboarding long name @ios @low-risk @1-devices","","Thu Oct 09 12:25:51 AEDT 2025","passed","Thu Oct 09 12:26:17 AEDT 2025","","input_validations/onboarding_long_name.spec.ts","",""
"","60147","Create contact @ios @high-risk @3-devices","","Thu Oct 09 12:39:37 AEDT 2025","passed","Thu Oct 09 12:40:37 AEDT 2025","","user_actions_create_contact.spec.ts","",""
"Verifies that 'Delete for everyone' in a 1-1 deletes the message in the conversation view and on the home screen for both parties and a linked device.","56440","Unsent message syncs @ios @medium-risk @3-devices","User Actions","Thu Oct 09 12:29:27 AEDT 2025","passed","Thu Oct 09 12:30:23 AEDT 2025","","Delete Message","",""
"Verifies that only admins can enable Disappearing Messages in a group","36912","Group member disappearing messages @ios @medium-risk @3-devices","Disappearing Messages","Thu Oct 09 12:10:37 AEDT 2025","passed","Thu Oct 09 12:11:14 AEDT 2025","","Rules","",""
"Verifies that a GIF disappears as expected in a 1:1 conversation","124868","Disappearing GIF message 1:1 @ios @low-risk @2-devices","Disappearing Messages","Thu Oct 09 12:04:02 AEDT 2025","passed","Thu Oct 09 12:06:07 AEDT 2025","","Message Types","",""
"Verifies that a voice message disappears as expected in a 1:1 conversation","78967","Disappearing voice message 1:1 @ios @low-risk @2-devices","Disappearing Messages","Thu Oct 09 12:08:12 AEDT 2025","passed","Thu Oct 09 12:09:31 AEDT 2025","","Message Types","",""
"","56000","Change group name @ios @medium-risk @3-devices","","Thu Oct 09 12:18:39 AEDT 2025","passed","Thu Oct 09 12:19:35 AEDT 2025","","group_tests_change_group_name.spec.ts","",""
"","1","Disappearing call message 1o1 @ios @low-risk @2-devices","","Thu Oct 09 12:03:56 AEDT 2025","skipped","Thu Oct 09 12:03:56 AEDT 2025","","disappearing_call.spec.ts","",""
"","41396","Delete message in group @ios @high-risk @3-devices","","Thu Oct 09 12:13:19 AEDT 2025","passed","Thu Oct 09 12:14:00 AEDT 2025","","group_message_delete.spec.ts","",""
"Verifies that a blocked user syncs to a linked device","52942","Block user linked device @ios @high-risk @3-devices","User Actions","Thu Oct 09 12:26:52 AEDT 2025","passed","Thu Oct 09 12:27:45 AEDT 2025","","Block/Unblock","",""
"","35574","Message requests clear all @ios @medium-risk @2-devices","","Thu Oct 09 12:35:30 AEDT 2025","passed","Thu Oct 09 12:36:06 AEDT 2025","","message_requests_clear_all.spec.ts","",""
"","59374","Send GIF 1:1 @ios @medium-risk @2-devices","","Thu Oct 09 12:31:48 AEDT 2025","passed","Thu Oct 09 12:32:47 AEDT 2025","","message_gif.spec.ts","",""
"","38914","Accept message request with text @ios @high-risk @2-devices","","Thu Oct 09 12:34:30 AEDT 2025","passed","Thu Oct 09 12:35:09 AEDT 2025","","message_requests_accept_text_reply.spec.ts","",""
