"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33223","Change username @ios @medium-risk @1-devices","","Thu Jan 22 15:20:39 AEDT 2026","passed","Thu Jan 22 15:21:13 AEDT 2026","","user_actions_change_username.spec.ts","",""
"Verifies that a user's placeholder avatar color appears the same to a contact","288999","Check placeholder avatar color @ios @medium-risk @2-devices","Visual Checks","Thu Jan 22 14:41:27 AEDT 2026","passed","Thu Jan 22 14:46:16 AEDT 2026","","Settings","",""
"Verifies that leaving a group syncs to a linked device","121826","Leave group linked device @ios @high-risk @4-devices","Groups","Thu Jan 22 15:10:26 AEDT 2026","passed","Thu Jan 22 15:12:28 AEDT 2026","","Leave/Delete Group","",""
"Verifies that an emoji reaction can be sent and is received in a group.","42087","Send emoji react groups @ios @high-risk @3-devices","Sending Messages","Thu Jan 22 15:03:02 AEDT 2026","passed","Thu Jan 22 15:03:44 AEDT 2026","","Emoji reacts","",""
"Verifies that a video disappears as expected in a group conversation","122053","Disappearing video to group @ios @low-risk @3-devices","Disappearing Messages","Thu Jan 22 14:57:00 AEDT 2026","passed","Thu Jan 22 14:59:02 AEDT 2026","","Message Types","",""
"Verifies Note to Self can be hidden and then unhidden/shown again in the conversation settings","39886","Hide note to self @ios @low-risk @1-devices","User Actions","Thu Jan 22 15:22:06 AEDT 2026","passed","Thu Jan 22 15:22:46 AEDT 2026","","Hide Note to Self","",""
"","64814","Send long message 1:1 @ios @low-risk @2-devices","","Thu Jan 22 15:14:18 AEDT 2026","passed","Thu Jan 22 15:15:22 AEDT 2026","","message_long_text.spec.ts","",""
"Verifies that a too long seed phrase throws the 'check your recovery password' error as expected.","12762","Onboarding wrong seed @ios @low-risk @1-devices","Onboarding","Thu Jan 22 15:06:46 AEDT 2026","passed","Thu Jan 22 15:06:59 AEDT 2026","","Input validations","",""
"Verifies that a user's avatar color is consistent across linked devices.","24013","Avatar color linked device @ios @medium-risk @2-devices","Visual Checks","Thu Jan 22 15:07:15 AEDT 2026","passed","Thu Jan 22 15:07:39 AEDT 2026","","Onboarding","",""
"Verifies voice call functionality and permission flow:
    - Verifies strings of all call permission prompts (microphone, notifications, etc.)
    - Verifies missed call notifications when recipient lacks permissions
    - Confirms successful call connection once both users enable permissions
    - Verifies control messages after call is finished
    Note that due to the nature of virtual devices, no actual ""talking"" takes place","94416","Voice calls @ios @high-risk @2-devices","Voice Calls","Thu Jan 22 15:24:26 AEDT 2026","passed","Thu Jan 22 15:26:01 AEDT 2026","","voice_calls.spec.ts","",""
