"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that an empty seed phrase throws the 'not long enough' error as expected.","13150","Onboarding no seed @ios @low-risk @1-devices","Onboarding","2026-02-02","passed","2026-02-02","","Input validations","",""
"Verifies that an image can be sent to a group, all members receive the document, and replying to a document works as expected","55053","Send image to group @ios @high-risk @3-devices","Sending Messages","2026-02-02","passed","2026-02-02","","Message types","",""
"","43886","Delete contact from conversation settings @ios @high-risk @3-devices","User Actions","2026-02-02","passed","2026-02-02","","Delete Contact","",""
"Verifies the in-app review modal texts and buttons for the negative flow (Enjoying Session - Give Feedback - Open URL)","22649","Review prompt negative flow @ios @high-risk @1-devices","In-App Review Prompt","2026-02-02","passed","2026-02-02","","Flows","",""
"Verifies that the 'Invite a Friend' share functionality opens the native share sheet and the user's Account ID is present in the message.","22832","Invite a friend @ios @medium-risk @1-devices","New Conversation","2026-02-02","passed","2026-02-02","","Invite a Friend","",""
"Verifies that a blocked user syncs to a linked device","57889","Block user linked device @ios @high-risk @3-devices","User Actions","2026-02-02","passed","2026-02-02","","Block/Unblock","",""
"Verifies that a user can share an image from the photo gallery to Session","70416","Share to session @ios @medium-risk @2-devices","User Actions","2026-02-02","passed","2026-02-02","","Share to Session","",""
"Verifies that mentions can be sent to a group, and that all participants see them correctly.","51308","Mentions for groups @ios @medium-risk @3-devices","Sending Messages","2026-02-02","passed","2026-02-02","","Mentions","",""
"Verifies message length behavior at 2001 characters - countdown shows -1, cannot send message","62936","Message length limit (2001 chars) @ios @high-risk @1-devices","Sending Messages","2026-02-02","passed","2026-02-02","","Rules","",""
"Verifies that the Notifications settings screen layout matches the expected baseline","17754","Check Notifications settings layout @ios @high-risk @1-devices","Visual Checks","2026-02-02","passed","2026-02-02","","Settings","",""
"Verifies that a GIF disappears as expected in a 1:1 conversation","106417","Disappearing GIF message 1:1 @ios @low-risk @2-devices","Disappearing Messages","2026-02-02","passed","2026-02-02","","Message Types","",""
"Verifies that a username change syncs to a linked device.","52276","Change username linked device @ios @medium-risk @2-devices","User Actions","2026-02-02","passed","2026-02-02","","Change Username","",""
"Verifies Note to Self can be hidden and then unhidden/shown again in the conversation settings","37978","Hide note to self @ios @low-risk @1-devices","User Actions","2026-02-02","passed","2026-02-02","","Hide Note to Self","",""
"","51672","Send image 1:1 @ios @high-risk @2-devices","","2026-02-02","passed","2026-02-02","","message_image.spec.ts","",""
"","33408","Message requests clear all @ios @medium-risk @2-devices","","2026-02-02","passed","2026-02-02","","message_requests_clear_all.spec.ts","",""
"Verifies that the in-app review prompt only shows shows once after triggered","27002","Review prompt only once @ios @medium-risk @1-devices","In-App Review Prompt","2026-02-02","passed","2026-02-02","","Triggers","",""
"Verifies that a message request cannot be sent when Community Message Requests are off.","65275","Community message requests off @ios @medium-risk @2-devices","Settings","2026-02-02","passed","2026-02-02","","Community Message Requests","",""
"Verifies that an emoji reaction can be sent and is received in a group.","47703","Send emoji react groups @ios @high-risk @3-devices","Sending Messages","2026-02-02","passed","2026-02-02","","Emoji reacts","",""
"","36045","Delete message request in list @ios @high-risk @2-devices","","2026-02-02","passed","2026-02-02","","message_requests_delete.spec.ts","",""
"Verifies that an image can be sent and received in a community","171535","Send image to community @ios @medium-risk @2-devices","Sending Messages","2026-02-02","passed","2026-02-02","","Message types","",""
"Verifies that when a message is deleted on one device, it shows as deleted on a linked device too.","38232","Delete message linked device @ios @high-risk @3-devices","User Actions","2026-02-02","passed","2026-02-02","","Delete Message","",""
