"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that a group description can be at most 200 chars and that every member can see a valid change.","292123","Change group description @ios @medium-risk @3-devices","Groups","Thu Oct 30 09:14:02 AEDT 2025","passed","Thu Oct 30 09:18:54 AEDT 2025","","Edit Group","",""
"Verifies message length behavior at 1800 characters - countdown shows 200, message sends","56355","Message length limit (1800 chars) @ios @high-risk @1-devices","Sending Messages","Thu Oct 30 09:27:30 AEDT 2025","passed","Thu Oct 30 09:28:26 AEDT 2025","","Rules","",""
"Verifies message length behavior at 2000 characters - countdown shows 0, message sends","59658","Message length limit (2000 chars) @ios @high-risk @1-devices","Sending Messages","Thu Oct 30 09:27:51 AEDT 2025","passed","Thu Oct 30 09:28:51 AEDT 2025","","Rules","",""
"","123638","Leave group linked device @ios @high-risk @4-devices","","Thu Oct 30 09:26:42 AEDT 2025","passed","Thu Oct 30 09:28:46 AEDT 2025","","linked_group_leave.spec.ts","",""
"Verifies that local deletion in a group does not delete a message for other participants.","48057","Delete message locally in group @ios @high-risk @3-devices","User Actions","Thu Oct 30 09:06:07 AEDT 2025","passed","Thu Oct 30 09:06:55 AEDT 2025","","Delete Message","",""
"Verifies that a link with preview can be sent to a group, all members receive the document, and replying to a document works as expected","49007","Send link to group @ios @high-risk @3-devices","Sending Messages","Thu Oct 30 09:10:01 AEDT 2025","passed","Thu Oct 30 09:10:50 AEDT 2025","","Message types","",""
"Verifies that the landing page for a restored account matches the expected baseline","29747","Check landing page (restored account) layout @ios @low-risk @2-devices","Visual Checks","Thu Oct 30 09:21:03 AEDT 2025","passed","Thu Oct 30 09:21:33 AEDT 2025","","Onboarding","",""
"Verifies that the Conversations settings screen layout matches the expected baseline","19001","Check Conversations settings layout @ios @high-risk @1-devices","Visual Checks","Thu Oct 30 09:37:58 AEDT 2025","passed","Thu Oct 30 09:38:17 AEDT 2025","","Settings","",""
"Verifies that an image can be sent to a group, all members receive the document, and replying to a document works as expected","70433","Send image to group @ios @high-risk @3-devices","Sending Messages","Thu Oct 30 09:09:25 AEDT 2025","passed","Thu Oct 30 09:10:35 AEDT 2025","","Message types","",""
"Verifies that the landing page for a new account matches the expected baseline","34206","Check landing page (new account) layout @ios @low-risk @1-devices","Visual Checks","Thu Oct 30 09:20:37 AEDT 2025","passed","Thu Oct 30 09:21:11 AEDT 2025","","Onboarding","",""
"Verifies that a GIF disappears as expected in a 1:1 conversation","118662","Disappearing GIF message 1:1 @ios @low-risk @2-devices","Disappearing Messages","Thu Oct 30 08:57:50 AEDT 2025","passed","Thu Oct 30 08:59:49 AEDT 2025","","Message Types","",""
"Verifies the alternate icon set on the App Disguise page is applied","76446","App disguise set icon @ios @medium-risk @1-devices","Settings","Thu Oct 30 08:45:41 AEDT 2025","passed","Thu Oct 30 08:46:58 AEDT 2025","","App Disguise","",""
