"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that a voice note disappears as expected in a group conversation","73166","Disappearing voice message to group @android @low-risk @3-devices","Disappearing Messages","Thu Aug 07 16:31:58 AEST 2025","passed","Thu Aug 07 16:33:11 AEST 2025","","Message Types","",""
"","37240","Accept message request with text @android @high-risk @2-devices","","Thu Aug 07 16:07:12 AEST 2025","passed","Thu Aug 07 16:07:49 AEST 2025","","message_requests_accept_text_reply.spec.ts","",""
"","25082","Network page learn more staking link @android @medium-risk @1-devices","","Thu Aug 07 15:50:58 AEST 2025","passed","Thu Aug 07 15:51:23 AEST 2025","","network_page_link_staking.spec.ts","",""
"Verifies that Disappearing Messages can be set in Note to Self, and that a message disappears after the specified expiry time.","78074","Disappear after send note to self @android @medium-risk @1-devices","Disappearing Messages","Thu Aug 07 15:49:46 AEST 2025","passed","Thu Aug 07 15:51:04 AEST 2025","","Conversation Types","",""
"","44848","Check performance @android @low-risk @2-devices","","Thu Aug 07 16:03:28 AEST 2025","passed","Thu Aug 07 16:04:12 AEST 2025","","message_check_performance.spec.ts","",""
"","52165","Send document 1:1 @android @high-risk @2-devices","","Thu Aug 07 16:05:26 AEST 2025","passed","Thu Aug 07 16:06:18 AEST 2025","","message_document.spec.ts","",""
"Verifies that only admins can enable Disappearing Messages in a group","28596","Group member disappearing messages @android @medium-risk @3-devices","Disappearing Messages","Thu Aug 07 16:29:37 AEST 2025","passed","Thu Aug 07 16:30:05 AEST 2025","","Rules","",""
"Verifies the modal texts and buttons in the negative flow","25361","Review prompt negative flow @android @medium-risk @1-devices","In-App Review Prompt","Thu Aug 07 15:51:23 AEST 2025","passed","Thu Aug 07 15:51:49 AEST 2025","","Flows","",""
"","11673","Onboarding no name @android @low-risk @1-devices","","Thu Aug 07 15:50:23 AEST 2025","passed","Thu Aug 07 15:50:35 AEST 2025","","input_validations/onboarding_no_name.spec.ts","",""
"","182282","Set nickname @android @high-risk @2-devices","","Thu Aug 07 16:20:38 AEST 2025","failed","Thu Aug 07 16:23:40 AEST 2025","","user_actions_set_nickname.spec.ts","",""
"","35343","Delete message request in list @android @high-risk @2-devices","","Thu Aug 07 16:08:28 AEST 2025","passed","Thu Aug 07 16:09:04 AEST 2025","","message_requests_delete.spec.ts","",""
"Verifies that the in-app review prompt shows after the user presses the Donate button in Settings","17471","Review prompt Donate trigger @android @high-risk @1-devices","In-App Review Prompt","Thu Aug 07 15:51:49 AEST 2025","passed","Thu Aug 07 15:52:06 AEST 2025","","Triggers","",""
"Verifies that a long message can be sent to a group","46079","Send long message to group @android @low-risk @3-devices","","Thu Aug 07 16:37:25 AEST 2025","passed","Thu Aug 07 16:38:11 AEST 2025","","group_message_long_text.spec.ts","",""
"","34848","Delete message locally @android @high-risk @2-devices","","Thu Aug 07 16:05:00 AEST 2025","passed","Thu Aug 07 16:05:35 AEST 2025","","message_deletion.spec.ts","",""
"","56154","Send GIF to group @android @medium-risk @3-devices","","Thu Aug 07 16:34:47 AEST 2025","passed","Thu Aug 07 16:35:43 AEST 2025","","group_message_gif.spec.ts","",""
"","37650","Change group description @android @medium-risk @3-devices","Groups","Thu Aug 07 16:42:03 AEST 2025","passed","Thu Aug 07 16:42:40 AEST 2025","","Edit Group","",""
"","4","Avatar color @android @medium-risk @2-devices","","Thu Aug 07 15:54:23 AEST 2025","skipped","Thu Aug 07 15:54:23 AEST 2025","","check_avatar_color.spec.ts","",""
"","2","Share to session @android @low-risk @2-devices","","Thu Aug 07 16:17:31 AEST 2025","skipped","Thu Aug 07 16:17:31 AEST 2025","","user_actions_share_to_session.spec.ts","",""
"","24296","Refresh network page @android @low-risk @1-devices","","Thu Aug 07 15:51:00 AEST 2025","passed","Thu Aug 07 15:51:24 AEST 2025","","network_page_refresh_page.spec.ts","",""
"Verifies that a GIF disappears as expected in a group conversation","76720","Disappearing GIF to group @android @low-risk @3-devices","Disappearing Messages","Thu Aug 07 16:25:51 AEST 2025","passed","Thu Aug 07 16:27:08 AEST 2025","","Message Types","",""
"Verifies that a GIF disappears as expected in a 1:1 conversation","106030","Disappearing GIF message 1:1 @android @low-risk @2-devices","Disappearing Messages","Thu Aug 07 15:57:30 AEST 2025","passed","Thu Aug 07 15:59:16 AEST 2025","","Message Types","",""
"Verifies voice call functionality and permission flow:
    - Verifies strings of all call permission prompts (microphone, notifications, etc.)
    - Verifies missed call notifications when recipient lacks permissions
    - Confirms successful call connection once both users enable permissions
    - Verifies control messages after call is finished
    Note that due to the nature of virtual devices, no actual ""talking"" takes place","64530","Voice calls @android @high-risk @2-devices","Voice Calls","Thu Aug 07 16:18:15 AEST 2025","passed","Thu Aug 07 16:19:20 AEST 2025","","voice_calls.spec.ts","",""
"","20477","Create user @android @high-risk @1-devices","","Thu Aug 07 15:52:08 AEST 2025","passed","Thu Aug 07 15:52:28 AEST 2025","","user_actions_create_user.spec.ts","",""
"","41068","Hide note to self linked device @android @low-risk @2-devices","User Actions","Thu Aug 07 16:02:12 AEST 2025","passed","Thu Aug 07 16:02:53 AEST 2025","","Hide Note to Self","",""
"Verifies that a video disappears as expected in a group conversation","112146","Disappearing video to group @android @low-risk @3-devices","Disappearing Messages","Thu Aug 07 16:30:06 AEST 2025","passed","Thu Aug 07 16:31:58 AEST 2025","","Message Types","",""
"","44707","Hide recovery password @android @medium-risk @2-devices","","Thu Aug 07 16:12:51 AEST 2025","passed","Thu Aug 07 16:13:36 AEST 2025","","user_actions_hide_recovery_password.spec.ts","",""
"","29050","Invite contacts banner @android @medium-risk @3-devices","","Thu Aug 07 16:45:10 AEST 2025","passed","Thu Aug 07 16:45:39 AEST 2025","","group_tests_invite_contact_banner.spec.ts","",""
"","34318","Change group name @android @medium-risk @3-devices","","Thu Aug 07 16:42:40 AEST 2025","passed","Thu Aug 07 16:43:15 AEST 2025","","group_tests_change_group_name.spec.ts","",""
"","27395","Create group banner @android @high-risk @2-devices","","Thu Aug 07 16:01:21 AEST 2025","passed","Thu Aug 07 16:01:48 AEST 2025","","group_tests_create_group_banner.spec.ts","",""
"","39915","Send link 1:1 @android @high-risk @2-devices","","Thu Aug 07 16:06:28 AEST 2025","passed","Thu Aug 07 16:07:08 AEST 2025","","message_link_preview.spec.ts","",""
"Verifies that the in-app review prompt shows after the user sets a different theme","19789","Review prompt Appearance trigger @android @high-risk @1-devices","In-App Review Prompt","Thu Aug 07 15:51:52 AEST 2025","passed","Thu Aug 07 15:52:12 AEST 2025","","Triggers","",""
"Verifies that a user can be unblocked after being blocked","42280","Unblock user @android @low-risk @2-devices","User Actions","Thu Aug 07 16:17:33 AEST 2025","passed","Thu Aug 07 16:18:15 AEST 2025","","Block/Unblock","",""
"Verifies that the STF donation link is correct and that the HTTP request is successful (200)","33102","Donate linkout @android @high-risk @1-devices","Linkouts","Thu Aug 07 15:49:46 AEST 2025","passed","Thu Aug 07 15:50:19 AEST 2025","","donate.spec.ts","",""
"","41624","Change username linked device @android @medium-risk @2-devices","","Thu Aug 07 16:02:11 AEST 2025","passed","Thu Aug 07 16:02:52 AEST 2025","","linked_device_change_username.spec.ts","",""
"Verifies that a user can be blocked from the home screen long press menu","40918","Block user in conversation list @android @high-risk @2-devices","User Actions","Thu Aug 07 16:11:24 AEST 2025","passed","Thu Aug 07 16:12:05 AEST 2025","","Block/Unblock","",""
"Verifies that Disappearing Messages can be set in a group conversation, and that a message disappears after the specified expiry time.","69723","Disappear after send groups @android @high-risk @3-devices","Disappearing Messages","Thu Aug 07 16:23:53 AEST 2025","passed","Thu Aug 07 16:25:03 AEST 2025","","Conversation Types","",""
"Verifies the alternate icons on the App Disguise page look as expected","31516","App disguise icons @android @medium-risk @1-devices","Settings","Thu Aug 07 15:49:46 AEST 2025","passed","Thu Aug 07 15:50:18 AEST 2025","","App Disguise","",""
"","10062","Onboarding no seed @android @low-risk @1-devices","","Thu Aug 07 15:50:27 AEST 2025","passed","Thu Aug 07 15:50:37 AEST 2025","","input_validations/onboarding_no_seed.spec.ts","",""
"","42514","Change profile picture @android @medium-risk @1-devices","","Thu Aug 07 15:53:32 AEST 2025","failed","Thu Aug 07 15:54:14 AEST 2025","","user_actions_change_profile_picture.spec.ts","",""
"","52287","Send link to group @android @high-risk @3-devices","","Thu Aug 07 16:36:32 AEST 2025","passed","Thu Aug 07 16:37:25 AEST 2025","","group_message_link_preview.spec.ts","",""
"","9703","Onboarding wrong seed @android @low-risk @1-devices","","Thu Aug 07 15:50:29 AEST 2025","passed","Thu Aug 07 15:50:39 AEST 2025","","input_validations/onboarding_wrong_seed.spec.ts","",""
"","207459","Send long message 1:1 @android @low-risk @2-devices","","Thu Aug 07 16:14:04 AEST 2025","failed","Thu Aug 07 16:17:31 AEST 2025","","message_long_text.spec.ts","",""
"","32323","Landing page restore account @android @low-risk @2-devices","","Thu Aug 07 16:01:40 AEST 2025","passed","Thu Aug 07 16:02:12 AEST 2025","","landing_page_restore_account.spec.ts","",""
"","58548","Send video 1:1 @android @medium-risk @2-devices","","Thu Aug 07 16:09:41 AEST 2025","passed","Thu Aug 07 16:10:39 AEST 2025","","message_video.spec.ts","",""
"","49409","Send image to group @android @high-risk @3-devices","","Thu Aug 07 16:35:43 AEST 2025","passed","Thu Aug 07 16:36:32 AEST 2025","","group_message_image.spec.ts","",""
"","9674","Onboarding incorrect seed @android @low-risk @1-devices","","Thu Aug 07 15:50:18 AEST 2025","passed","Thu Aug 07 15:50:27 AEST 2025","","input_validations/onboarding_incorrect_seed.spec.ts","",""
"Verifies that a video disappears as expected in a 1:1 conversation","110849","Disappearing video message 1:1 @android @low-risk @2-devices","Disappearing Messages","Thu Aug 07 15:59:30 AEST 2025","passed","Thu Aug 07 16:01:21 AEST 2025","","Message Types","",""
"","33973","Link device @android @high-risk @2-devices","","Thu Aug 07 16:02:54 AEST 2025","passed","Thu Aug 07 16:03:27 AEST 2025","","linked_device.spec.ts","",""
"","40706","Change username @android @medium-risk @1-devices","","Thu Aug 07 15:52:06 AEST 2025","passed","Thu Aug 07 15:52:47 AEST 2025","","user_actions_change_username.spec.ts","",""
"","40023","Delete message in group @android @high-risk @3-devices","","Thu Aug 07 16:33:11 AEST 2025","passed","Thu Aug 07 16:33:51 AEST 2025","","group_message_delete.spec.ts","",""
"","50050","Send voice message to group @android @high-risk @3-devices","","Thu Aug 07 16:39:58 AEST 2025","passed","Thu Aug 07 16:40:48 AEST 2025","","group_message_voice.spec.ts","",""
"","52904","Network page learn more network link @android @medium-risk @1-devices","","Thu Aug 07 15:50:39 AEST 2025","passed","Thu Aug 07 15:51:32 AEST 2025","","network_page_link_network.spec.ts","",""
"Verifies the modal texts and buttons in the positive flow","20029","Review prompt positive flow @android @medium-risk @1-devices","In-App Review Prompt","Thu Aug 07 15:51:32 AEST 2025","passed","Thu Aug 07 15:51:52 AEST 2025","","Flows","",""
"","44855","Send voice message 1:1 @android @high-risk @2-devices","","Thu Aug 07 16:10:39 AEST 2025","passed","Thu Aug 07 16:11:24 AEST 2025","","message_voice.spec.ts","",""
"","86015","Create group @android @high-risk @3-devices","","Thu Aug 07 16:43:15 AEST 2025","passed","Thu Aug 07 16:44:41 AEST 2025","","group_tests_create_group.spec.ts","",""
"Verifies that a link preview disappears as expected in a group conversation","75874","Disappearing link to group @android @low-risk @3-devices","Disappearing Messages","Thu Aug 07 16:28:21 AEST 2025","passed","Thu Aug 07 16:29:37 AEST 2025","","Message Types","",""
"Verifies that a link preview disappears as expected in a 1:1 conversation","72250","Disappearing link message 1:1 @android @low-risk @2-devices","Disappearing Messages","Thu Aug 07 15:59:16 AEST 2025","passed","Thu Aug 07 16:00:28 AEST 2025","","Message Types","",""
"","74426","Add contact to group @android @high-risk @4-devices","","Thu Aug 07 16:40:48 AEST 2025","passed","Thu Aug 07 16:42:03 AEST 2025","","group_tests_add_contact.spec.ts","",""
"","42166","Unsend message in group @android @high-risk @3-devices","","Thu Aug 07 16:38:11 AEST 2025","passed","Thu Aug 07 16:38:53 AEST 2025","","group_message_unsend.spec.ts","",""
"Verifies that a community invite disappears as expected in a 1:1 conversation","106461","Disappearing community invite message 1:1 @android @low-risk @2-devices","Disappearing Messages","Thu Aug 07 15:56:31 AEST 2025","passed","Thu Aug 07 15:58:17 AEST 2025","","Message Types","",""
"","20630","Landing page new account @android @low-risk @1-devices","","Thu Aug 07 15:50:37 AEST 2025","passed","Thu Aug 07 15:50:58 AEST 2025","","landing_page_new_account.spec.ts","",""
"","10036","Onboarding long name @android @low-risk @1-devices","","Thu Aug 07 15:50:19 AEST 2025","passed","Thu Aug 07 15:50:29 AEST 2025","","input_validations/onboarding_long_name.spec.ts","",""
"Verifies that an image can be sent and received in a community","55824","Send image to community @android @medium-risk @2-devices","Sending Messages","Thu Aug 07 15:54:25 AEST 2025","passed","Thu Aug 07 15:55:20 AEST 2025","","Sending Attachments","",""
"Verifies that 'Disappear After Send' works as expected in a 1:1 conversation","70228","Disappear after send @android @high-risk @2-devices","Disappearing Messages","Thu Aug 07 15:55:20 AEST 2025","passed","Thu Aug 07 15:56:31 AEST 2025","","Conversation Types","",""
"Verifies Note to Self can be hidden and then unhidden/shown again in the conversation settings","47104","Hide note to self @android @low-risk @1-devices","User Actions","Thu Aug 07 15:52:12 AEST 2025","passed","Thu Aug 07 15:52:59 AEST 2025","","Hide Note to Self","",""
"Verifies that 'Disappear After Read' can be set in a 1:1 conversation, and that a message disappears after the specified expiry time.","69931","Disappear after read @android @high-risk @2-devices","Disappearing Messages","Thu Aug 07 15:55:04 AEST 2025","passed","Thu Aug 07 15:56:14 AEST 2025","","Conversation Types","",""
"","65227","Send video to group @android @medium-risk @3-devices","","Thu Aug 07 16:38:53 AEST 2025","passed","Thu Aug 07 16:39:58 AEST 2025","","group_message_video.spec.ts","",""
"Verifies that the in-app review prompt shows after the user visits the Path screen in Settings","17807","Review prompt Path trigger @android @high-risk @1-devices","In-App Review Prompt","Thu Aug 07 15:51:50 AEST 2025","passed","Thu Aug 07 15:52:08 AEST 2025","","Triggers","",""
"","53251","Send image 1:1 @android @high-risk @2-devices","","Thu Aug 07 16:06:18 AEST 2025","passed","Thu Aug 07 16:07:12 AEST 2025","","message_image.spec.ts","",""
"","50466","Avatar restored @android @medium-risk @2-devices","","Thu Aug 07 16:04:34 AEST 2025","failed","Thu Aug 07 16:05:25 AEST 2025","","linked_device_profile_picture_syncs.spec.ts","",""
"Verifies that a voice message disappears as expected in a 1:1 conversation","71754","Disappearing voice message 1:1 @android @low-risk @2-devices","Disappearing Messages","Thu Aug 07 16:00:28 AEST 2025","passed","Thu Aug 07 16:01:40 AEST 2025","","Message Types","",""
"","56011","Send document to group @android @high-risk @3-devices","","Thu Aug 07 16:33:51 AEST 2025","passed","Thu Aug 07 16:34:47 AEST 2025","","group_message_document.spec.ts","",""
"","25038","Invite a friend @android @medium-risk @1-devices","","Thu Aug 07 15:50:35 AEST 2025","passed","Thu Aug 07 15:51:00 AEST 2025","","invite_a_friend_share.spec.ts","",""
"","13396","Warning modal on restore account @android @medium-risk @1-devices","","Thu Aug 07 15:52:42 AEST 2025","passed","Thu Aug 07 15:52:56 AEST 2025","","warning_modal_restore_account.spec.ts","",""
"","47577","Send community invitation @android @medium-risk @2-devices","","Thu Aug 07 16:04:12 AEST 2025","passed","Thu Aug 07 16:05:00 AEST 2025","","message_community_invitation.spec.ts","",""
"Verifies that the in-app review prompt shows once after triggered","25580","Review prompt once @android @medium-risk @1-devices","In-App Review Prompt","Thu Aug 07 15:51:24 AEST 2025","passed","Thu Aug 07 15:51:50 AEST 2025","","Triggers","",""
"Verifies that a call control message disappears as expected in a 1:1 conversation","75525","Disappearing call message 1o1 @android @low-risk @2-devices","Disappearing Messages","Thu Aug 07 15:56:14 AEST 2025","passed","Thu Aug 07 15:57:30 AEST 2025","","Message Types","",""
"Verifies the alternate icon set on the App Disguise page is applied","36850","App disguise set icon @android @medium-risk @1-devices","Settings","Thu Aug 07 15:49:46 AEST 2025","passed","Thu Aug 07 15:50:23 AEST 2025","","App Disguise","",""
"Verifies that joining a community works and the conversation syncs to a linked device","39886","Join community test @android @high-risk @2-devices","Communities","Thu Aug 07 15:54:25 AEST 2025","passed","Thu Aug 07 15:55:04 AEST 2025","","community_tests_join.spec.ts","",""
"","37284","Unsend message @android @high-risk @2-devices","","Thu Aug 07 16:09:04 AEST 2025","passed","Thu Aug 07 16:09:41 AEST 2025","","message_unsend.spec.ts","",""
"","38339","Read status @android @medium-risk @2-devices","","Thu Aug 07 16:13:36 AEST 2025","passed","Thu Aug 07 16:14:15 AEST 2025","","user_actions_read_status.spec.ts","",""
"Verifies that a user can be blocked from the conversation settings","46133","Block user in conversation settings @android @high-risk @2-devices","User Actions","Thu Aug 07 16:12:05 AEST 2025","passed","Thu Aug 07 16:12:51 AEST 2025","","Block/Unblock","",""
"Verifies that turning off Disappearing Messages works as expected in a 1:1 conversation","48845","Disappear after send off 1:1 @android @high-risk @3-devices","Disappearing Messages","Thu Aug 07 16:25:03 AEST 2025","passed","Thu Aug 07 16:25:51 AEST 2025","","Conversation Types","",""
"Verifies that an image disappears as expected in a 1:1 conversation","72638","Disappearing image message 1:1 @android @low-risk @2-devices","Disappearing Messages","Thu Aug 07 15:58:17 AEST 2025","passed","Thu Aug 07 15:59:30 AEST 2025","","Message Types","",""
"","52779","Send GIF 1:1 @android @medium-risk @2-devices","","Thu Aug 07 16:05:35 AEST 2025","passed","Thu Aug 07 16:06:28 AEST 2025","","message_gif.spec.ts","",""
"","22606","Avatar color linked device @android @medium-risk @2-devices","","Thu Aug 07 16:01:48 AEST 2025","passed","Thu Aug 07 16:02:11 AEST 2025","","linked_device_avatar_color.spec.ts","",""
"","14358","Warning modal on new account @android @medium-risk @1-devices","","Thu Aug 07 15:52:28 AEST 2025","passed","Thu Aug 07 15:52:42 AEST 2025","","warning_modal_new_account.spec.ts","",""
"Verifies that an image disappears as expected in a group conversation","72861","Disappearing image message to group @android @low-risk @3-devices","Disappearing Messages","Thu Aug 07 16:27:08 AEST 2025","passed","Thu Aug 07 16:28:21 AEST 2025","","Message Types","",""
"","28998","Edit group banner @android @medium-risk @3-devices","","Thu Aug 07 16:44:41 AEST 2025","passed","Thu Aug 07 16:45:10 AEST 2025","","group_tests_edit_group_banner.spec.ts","",""
"","15395","Onboarding privacy policy @android @high-risk @1-devices","","Thu Aug 07 15:51:04 AEST 2025","passed","Thu Aug 07 15:51:20 AEST 2025","","onboarding_pp.spec.ts","",""
"","39269","Message requests clear all @android @medium-risk @2-devices","","Thu Aug 07 16:07:49 AEST 2025","passed","Thu Aug 07 16:08:28 AEST 2025","","message_requests_clear_all.spec.ts","",""
"","42152","Onboarding terms of service @android @high-risk @1-devices","","Thu Aug 07 15:51:20 AEST 2025","passed","Thu Aug 07 15:52:02 AEST 2025","","onboarding_tos.spec.ts","",""
