"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that 'Disappear After Send' works as expected in a 1:1 conversation","71990","Disappear after send @ios @high-risk @2-devices","Disappearing Messages","Fri Jul 25 16:05:14 AEST 2025","passed","Fri Jul 25 16:06:26 AEST 2025","","Conversation Types","",""
"","9133","Onboarding no seed @ios @low-risk @1-devices","","Fri Jul 25 16:24:03 AEST 2025","passed","Fri Jul 25 16:24:12 AEST 2025","","input_validations/onboarding_no_seed.spec.ts","",""
"Verifies that a GIF disappears as expected in a group conversation","111746","Disappearing GIF to group @ios @low-risk @3-devices","Disappearing Messages","Fri Jul 25 16:13:55 AEST 2025","passed","Fri Jul 25 16:15:47 AEST 2025","","Message Types","",""
"","167309","Create group and change name syncs @ios @high-risk @4-devices","","Fri Jul 25 16:25:04 AEST 2025","passed","Fri Jul 25 16:27:51 AEST 2025","","linked_device_create_group.spec.ts","",""
"","58881","Mentions for groups @ios @medium-risk @3-devices","","Fri Jul 25 16:23:15 AEST 2025","passed","Fri Jul 25 16:24:13 AEST 2025","","group_tests_mentions.spec.ts","",""
"","98298","Create group @ios @high-risk @3-devices","","Fri Jul 25 16:21:54 AEST 2025","passed","Fri Jul 25 16:23:33 AEST 2025","","group_tests_create_group.spec.ts","",""
"Verifies that an image can be sent to a community. 
  Note that due to Appium's limitations, this test does not verify another device receiving the image.","173031","Send image to community @ios @medium-risk @1-devices","Sending Messages","Fri Jul 25 16:01:05 AEST 2025","passed","Fri Jul 25 16:03:58 AEST 2025","","Sending Attachments","",""
"","59921","Change group description @ios @medium-risk @3-devices","Groups","Fri Jul 25 16:20:54 AEST 2025","passed","Fri Jul 25 16:21:54 AEST 2025","","Edit Group","",""
"Verifies that the STF donation link is correct and that the HTTP request is successful (200)","25222","Donate linkout @ios @high-risk @1-devices","Linkouts","Fri Jul 25 16:13:30 AEST 2025","passed","Fri Jul 25 16:13:55 AEST 2025","","donate.spec.ts","",""
"","63627","Send link 1:1 @ios @high-risk @2-devices","","Fri Jul 25 16:31:43 AEST 2025","passed","Fri Jul 25 16:32:47 AEST 2025","","message_link_preview.spec.ts","",""
