"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that ONS resolution works","15428","ONS resolution @ios @high-risk @1-devices","New Conversation","Fri Jan 09 15:13:31 AEDT 2026","passed","Fri Jan 09 15:13:47 AEDT 2026","","New Message","",""
"Verifies the in-app review modal texts and buttons for the negative flow (Enjoying Session - Give Feedback - Open URL)","17844","Review prompt negative flow @ios @high-risk @1-devices","In-App Review Prompt","Fri Jan 09 15:13:32 AEDT 2026","passed","Fri Jan 09 15:13:49 AEDT 2026","","Flows","",""
"Verifies that an empty seed phrase throws the 'not long enough' error as expected.","12530","Onboarding no seed @ios @low-risk @1-devices","Onboarding","Fri Jan 09 14:57:15 AEDT 2026","passed","Fri Jan 09 14:57:27 AEDT 2026","","Input validations","",""
"Verifies that a seed phrase with a word not on the mnemonic list throws the 'some words are incorrect' error as expected.","16021","Onboarding incorrect seed @ios @low-risk @1-devices","Onboarding","Fri Jan 09 14:56:45 AEDT 2026","passed","Fri Jan 09 14:57:01 AEDT 2026","","Input validations","",""
"Verifies that the in-app review prompt shows after the user presses the Donate button in Settings","15319","Review prompt Donate trigger @ios @high-risk @1-devices","In-App Review Prompt","Fri Jan 09 15:14:05 AEDT 2026","passed","Fri Jan 09 15:14:21 AEDT 2026","","Triggers","",""
"","34319","Delete message request in list @ios @high-risk @2-devices","","Fri Jan 09 15:10:44 AEDT 2026","passed","Fri Jan 09 15:11:19 AEDT 2026","","message_requests_delete.spec.ts","",""
"","27609","Message requests clear all @ios @medium-risk @2-devices","","Fri Jan 09 15:10:05 AEDT 2026","passed","Fri Jan 09 15:10:33 AEDT 2026","","message_requests_clear_all.spec.ts","",""
"Verifies that a GIF disappears as expected in a group conversation","151193","Disappearing GIF to group @ios @low-risk @3-devices","Disappearing Messages","Fri Jan 09 14:44:33 AEDT 2026","passed","Fri Jan 09 14:47:04 AEDT 2026","","Message Types","",""
"Create four accounts, create a group with three, add the fourth member","76225","Add contact to group @ios @high-risk @4-devices","Groups","Fri Jan 09 14:52:35 AEDT 2026","passed","Fri Jan 09 14:53:51 AEDT 2026","","Edit Group","",""
"","14941","Onboarding privacy policy @ios @high-risk @1-devices","","Fri Jan 09 15:12:53 AEDT 2026","passed","Fri Jan 09 15:13:08 AEDT 2026","","onboarding_pp.spec.ts","",""
"","32909","Read status @ios @medium-risk @2-devices","","Fri Jan 09 15:17:28 AEDT 2026","passed","Fri Jan 09 15:18:01 AEDT 2026","","user_actions_read_status.spec.ts","",""
"Verifies that a group created on one device appears on a linked device, and that a group name change syncs to all members.","217333","Create group and change name syncs @ios @high-risk @4-devices","Groups","Fri Jan 09 14:58:25 AEDT 2026","passed","Fri Jan 09 15:02:02 AEDT 2026","","Create Group","",""
"Verifies that Hide Note To Self syncs to a linked device.","78322","Hide note to self linked device @ios @low-risk @2-devices","User Actions","Fri Jan 09 15:01:20 AEDT 2026","passed","Fri Jan 09 15:02:38 AEDT 2026","","Hide Note to Self","",""
"Verifies that 'Delete for everyone' in a 1-1 deletes the message in the conversation view and on the home screen for both parties and a linked device.","39122","Unsent message syncs @ios @medium-risk @3-devices","User Actions","Fri Jan 09 15:02:24 AEDT 2026","passed","Fri Jan 09 15:03:03 AEDT 2026","","Delete Message","",""
"Verifies the in-app review modal texts and buttons for the positive flow (Enjoying Session - Rate App)","15709","Review prompt positive flow @ios @high-risk @1-devices","In-App Review Prompt","Fri Jan 09 15:13:50 AEDT 2026","passed","Fri Jan 09 15:14:05 AEDT 2026","","Flows","",""
"Verifies that the Conversations settings screen layout matches the expected baseline","13883","Check Conversations settings layout @ios @high-risk @1-devices","Visual Checks","Fri Jan 09 15:19:17 AEDT 2026","passed","Fri Jan 09 15:19:31 AEDT 2026","","Settings","",""
"","46318","Delete conversation from conversation settings @ios @high-risk @3-devices","User Actions","Fri Jan 09 15:17:42 AEDT 2026","failed","Fri Jan 09 15:18:28 AEDT 2026","","Delete Conversation","",""
"Verifies that Disappearing Messages can be set in a group conversation, and that a message disappears after the specified expiry time.","74837","Disappear after send groups @ios @high-risk @3-devices","Disappearing Messages","Fri Jan 09 14:33:18 AEDT 2026","passed","Fri Jan 09 14:34:33 AEDT 2026","","Conversation Types","",""
"Mocks a custom install date 6 days, 23 hours, and 58 minutes ago, opens the app, and verifies that the Donate CTA does not show.","16825","Donate CTA does not show if app installed <7 days ago @ios @high-risk @1-devices","Donations","Fri Jan 09 14:33:01 AEDT 2026","passed","Fri Jan 09 14:33:18 AEDT 2026","","cta_donate_time.spec.ts","",""
"","52794","Delete message request in conversation @ios @high-risk @3-devices","","Fri Jan 09 15:10:33 AEDT 2026","passed","Fri Jan 09 15:11:26 AEDT 2026","","message_requests_decline.spec.ts","",""
"","64975","Block message request in conversation @ios @high-risk @3-devices","","Fri Jan 09 15:09:58 AEDT 2026","passed","Fri Jan 09 15:11:03 AEDT 2026","","message_requests_block.spec.ts","",""
"Verifies that leaving a group syncs to a linked device","120670","Leave group linked device @ios @high-risk @4-devices","Groups","Fri Jan 09 15:07:21 AEDT 2026","failed","Fri Jan 09 15:09:22 AEDT 2026","","Leave/Delete Group","",""
"Verifies that a video disappears as expected in a 1:1 conversation","112081","Disappearing video message 1:1 @ios @low-risk @2-devices","Disappearing Messages","Fri Jan 09 14:40:08 AEDT 2026","passed","Fri Jan 09 14:42:00 AEDT 2026","","Message Types","",""
"Verifies that a GIF can be sent to a group, all members receive the document, and replying to a document works as expected","57108","Send GIF to group @ios @medium-risk @3-devices","Sending Messages","Fri Jan 09 14:48:32 AEDT 2026","passed","Fri Jan 09 14:49:29 AEDT 2026","","Message types","",""
"","65004","Send community invitation @ios @medium-risk @2-devices","","Fri Jan 09 15:03:42 AEDT 2026","passed","Fri Jan 09 15:04:47 AEDT 2026","","message_community_invitation.spec.ts","",""
"Verifies that a user's avatar color is consistent across linked devices.","30162","Avatar color linked device @ios @medium-risk @2-devices","Visual Checks","Fri Jan 09 14:57:55 AEDT 2026","passed","Fri Jan 09 14:58:25 AEDT 2026","","Onboarding","",""
"Verifies Note to Self can be hidden and then unhidden/shown again in the conversation settings","28240","Hide note to self @ios @low-risk @1-devices","User Actions","Fri Jan 09 15:16:28 AEDT 2026","passed","Fri Jan 09 15:16:57 AEDT 2026","","Hide Note to Self","",""
"Verifies that a voice message disappears as expected in a 1:1 conversation","94899","Disappearing voice message 1:1 @ios @low-risk @2-devices","Disappearing Messages","Fri Jan 09 14:42:00 AEDT 2026","passed","Fri Jan 09 14:43:35 AEDT 2026","","Message Types","",""
"Verifies that only admins can enable Disappearing Messages in a group","31274","Group member disappearing messages @ios @medium-risk @3-devices","Disappearing Messages","Fri Jan 09 14:45:46 AEDT 2026","passed","Fri Jan 09 14:46:17 AEDT 2026","","Rules","",""
"Verifies that the profile picture change on one device is reflected on a linked device.","63673","Change profile picture linked device @ios @medium-risk @2-devices","User Actions","Fri Jan 09 15:01:20 AEDT 2026","passed","Fri Jan 09 15:02:24 AEDT 2026","","Change Profile Picture","",""
"Verifies that the Session Network Page displays the values fetched from the network API correctly.","43279","Network page values @ios @medium-risk @1-devices","Network Page","Fri Jan 09 15:14:03 AEDT 2026","failed","Fri Jan 09 15:14:46 AEDT 2026","","network_page_values.spec.ts","",""
"Verifies that mentions can be sent to a group, and that all participants see them correctly.","78530","Mentions for groups @ios @medium-risk @3-devices","Sending Messages","Fri Jan 09 14:56:44 AEDT 2026","passed","Fri Jan 09 14:58:03 AEDT 2026","","Mentions","",""
"Verifies that the Privacy settings screen layout matches the expected baseline","13785","Check Privacy settings layout @ios @high-risk @1-devices","Visual Checks","Fri Jan 09 15:19:15 AEDT 2026","passed","Fri Jan 09 15:19:29 AEDT 2026","","Settings","",""
"Verifies that a PDF can be sent to a group, all members receive the document, and replying to a document works as expected","54673","Send document to group @ios @high-risk @3-devices","Sending Messages","Fri Jan 09 14:48:21 AEDT 2026","passed","Fri Jan 09 14:49:16 AEDT 2026","","Message types","",""
"Verifies that a too long seed phrase throws the 'check your recovery password' error as expected.","13634","Onboarding wrong seed @ios @low-risk @1-devices","Onboarding","Fri Jan 09 14:57:24 AEDT 2026","passed","Fri Jan 09 14:57:38 AEDT 2026","","Input validations","",""
"","49206","Send document 1:1 @ios @high-risk @2-devices","","Fri Jan 09 15:04:47 AEDT 2026","passed","Fri Jan 09 15:05:36 AEDT 2026","","message_document.spec.ts","",""
"","22453","Change username @ios @medium-risk @1-devices","","Fri Jan 09 15:14:48 AEDT 2026","passed","Fri Jan 09 15:15:10 AEDT 2026","","user_actions_change_username.spec.ts","",""
"Verifies that an admin can delete a group successfully via the UI.
  The group members see the empty state control message, and the admin's conversation disappears from the home screen, even on a linked device.","34928","Delete group linked device @ios @high-risk @4-devices","Groups","Fri Jan 09 14:56:35 AEDT 2026","failed","Fri Jan 09 14:57:10 AEDT 2026","","Leave/Delete Group","",""
"","30907","Hide recovery password @ios @medium-risk @2-devices","","Fri Jan 09 15:16:57 AEDT 2026","passed","Fri Jan 09 15:17:28 AEDT 2026","","user_actions_hide_recovery_password.spec.ts","",""
"Verifies that the landing page for a restored account matches the expected baseline","28083","Check landing page (restored account) layout @ios @low-risk @2-devices","Visual Checks","Fri Jan 09 14:57:46 AEDT 2026","passed","Fri Jan 09 14:58:14 AEDT 2026","","Onboarding","",""
"","49978","Send GIF 1:1 @ios @medium-risk @2-devices","","Fri Jan 09 15:04:48 AEDT 2026","passed","Fri Jan 09 15:05:38 AEDT 2026","","message_gif.spec.ts","",""
"Verifies that the landing page for a new account matches the expected baseline","16608","Check landing page (new account) layout @ios @low-risk @1-devices","Visual Checks","Fri Jan 09 14:57:38 AEDT 2026","passed","Fri Jan 09 14:57:55 AEDT 2026","","Onboarding","",""
"Verifies that a non-admin member can leave a group successfully via the UI","43461","Leave group @ios @high-risk @3-devices","Groups","Fri Jan 09 14:56:01 AEDT 2026","passed","Fri Jan 09 14:56:45 AEDT 2026","","Leave/Delete Group","",""
"Verifies that a voice message can be sent to a group, all members receive the document, and replying to a document works as expected","56299","Send voice message to group @ios @high-risk @3-devices","Sending Messages","Fri Jan 09 14:50:55 AEDT 2026","passed","Fri Jan 09 14:51:51 AEDT 2026","","Message types","",""
"Verifies that an image can be sent and received in a community","144175","Send image to community @ios @medium-risk @2-devices","Sending Messages","Fri Jan 09 14:30:36 AEDT 2026","passed","Fri Jan 09 14:33:00 AEDT 2026","","Message types","",""
"Verifies that a voice note disappears as expected in a group conversation","76940","Disappearing voice message to group @ios @low-risk @3-devices","Disappearing Messages","Fri Jan 09 14:47:04 AEDT 2026","passed","Fri Jan 09 14:48:21 AEDT 2026","","Message Types","",""
"","29760","Accept message request with text @ios @high-risk @2-devices","","Fri Jan 09 15:09:28 AEDT 2026","passed","Fri Jan 09 15:09:58 AEDT 2026","","message_requests_accept_text_reply.spec.ts","",""
"Verifies that a group name change syncs to every member.","56705","Change group name @ios @medium-risk @3-devices","Groups","Fri Jan 09 14:52:54 AEDT 2026","failed","Fri Jan 09 14:53:50 AEDT 2026","","Edit Group","",""
"Verifies that message bubbles appear as expected (oneline and multiline messages, reply layout, outgoing/incoming)","35314","Check message bubble layout @ios @high-risk @2-devices","Visual Checks","Fri Jan 09 15:18:40 AEDT 2026","passed","Fri Jan 09 15:19:15 AEDT 2026","","Conversation","",""
"Verifies that an emoji reaction can be sent and is received in a 1-1 conversation.","32242","Send emoji react 1:1 @ios @high-risk @2-devices","Sending Messages","Fri Jan 09 15:09:24 AEDT 2026","passed","Fri Jan 09 15:09:56 AEDT 2026","","Emoji reacts","",""
"Verifies that the Notifications settings screen layout matches the expected baseline","15358","Check Notifications settings layout @ios @high-risk @1-devices","Visual Checks","Fri Jan 09 15:19:20 AEDT 2026","passed","Fri Jan 09 15:19:36 AEDT 2026","","Settings","",""
"Verifies that a too long display name (101 bytes) throws the 'shorter display name' error as expected.","13915","Onboarding long name @ios @low-risk @1-devices","Onboarding","Fri Jan 09 14:57:01 AEDT 2026","passed","Fri Jan 09 14:57:15 AEDT 2026","","Input validations","",""
"Verifies the alternate icon set on the App Disguise page is applied","70002","App disguise set icon @ios @medium-risk @1-devices","Settings","Fri Jan 09 14:26:29 AEDT 2026","passed","Fri Jan 09 14:27:39 AEDT 2026","","App Disguise","",""
"Verifies that a group member can be kicked from a group and that the kicked member is removed from the group.","57167","Kick member @ios @medium-risk @3-devices","Groups","Fri Jan 09 14:53:51 AEDT 2026","passed","Fri Jan 09 14:54:48 AEDT 2026","","Edit Group","",""
"Verifies that when a message is deleted on one device, it shows as deleted on a linked device too.","67568","Delete message linked device @ios @high-risk @3-devices","User Actions","Fri Jan 09 14:58:52 AEDT 2026","passed","Fri Jan 09 14:59:59 AEDT 2026","","Delete Message","",""
"Verifies that the ""Learn More"" link on the Network Page opens the correct URL in the device browser.","19815","Network page learn more network link @ios @medium-risk @1-devices","Network Page","Fri Jan 09 15:12:33 AEDT 2026","passed","Fri Jan 09 15:12:53 AEDT 2026","","network_page_link_network.spec.ts","",""
"Verifies that the in-app review prompt only shows shows once after triggered","19018","Review prompt only once @ios @medium-risk @1-devices","In-App Review Prompt","Fri Jan 09 15:13:47 AEDT 2026","passed","Fri Jan 09 15:14:06 AEDT 2026","","Triggers","",""
"Verifies that a call control message disappears as expected in a 1:1 conversation","89397","Disappearing call message 1:1 @ios @low-risk @2-devices","Disappearing Messages","Fri Jan 09 14:36:15 AEDT 2026","passed","Fri Jan 09 14:37:44 AEDT 2026","","Message Types","",""
"","15725","Create user @ios @high-risk @1-devices","","Fri Jan 09 15:15:09 AEDT 2026","passed","Fri Jan 09 15:15:25 AEDT 2026","","user_actions_create_user.spec.ts","",""
"Verifies that an empty display name throws the 'please enter a display name' error as expected.","12562","Onboarding no name @ios @low-risk @1-devices","Onboarding","Fri Jan 09 14:57:12 AEDT 2026","passed","Fri Jan 09 14:57:24 AEDT 2026","","Input validations","",""
"","40657","Unsend message @ios @high-risk @2-devices","","Fri Jan 09 15:11:03 AEDT 2026","passed","Fri Jan 09 15:11:44 AEDT 2026","","message_unsend.spec.ts","",""
"","42355","Send link 1:1 @ios @high-risk @2-devices","","Fri Jan 09 15:08:46 AEDT 2026","passed","Fri Jan 09 15:09:28 AEDT 2026","","message_link_preview.spec.ts","",""
"","45540","Send voice message 1:1 @ios @high-risk @2-devices","","Fri Jan 09 15:11:26 AEDT 2026","passed","Fri Jan 09 15:12:11 AEDT 2026","","message_voice.spec.ts","",""
"Verifies that a link preview disappears as expected in a 1:1 conversation","147058","Disappearing link message 1:1 @ios @low-risk @2-devices","Disappearing Messages","Fri Jan 09 14:42:03 AEDT 2026","failed","Fri Jan 09 14:44:30 AEDT 2026","","Message Types","",""
"Verifies message length behavior at 2000 characters - countdown shows 0, message sends","56790","Message length limit (2000 chars) @ios @high-risk @1-devices","Sending Messages","Fri Jan 09 15:07:49 AEDT 2026","passed","Fri Jan 09 15:08:46 AEDT 2026","","Rules","",""
"Verifies that global deletion in a group deletes a message for every participant.","49031","Delete message for all in group @ios @high-risk @3-devices","User Actions","Fri Jan 09 14:50:02 AEDT 2026","passed","Fri Jan 09 14:50:51 AEDT 2026","","Delete Message","",""
"Verifies that the in-app review prompt shows after the user sets a different theme","16434","Review prompt Appearance trigger @ios @high-risk @1-devices","In-App Review Prompt","Fri Jan 09 15:14:21 AEDT 2026","passed","Fri Jan 09 15:14:37 AEDT 2026","","Triggers","",""
"Verifies that the ""Learn More"" link on the Network Page for Staking opens the correct URL in the device browser.","20965","Network page learn more staking link @ios @medium-risk @1-devices","Network Page","Fri Jan 09 15:12:06 AEDT 2026","passed","Fri Jan 09 15:12:27 AEDT 2026","","network_page_link_staking.spec.ts","",""
"Verifies that restoring an account works as expected: Display Name and Account ID match, no Recovery password banner on home screen.","27398","Link device @ios @high-risk @2-devices","Onboarding","Fri Jan 09 15:02:38 AEDT 2026","passed","Fri Jan 09 15:03:06 AEDT 2026","","Restore account","",""
"Verifies message length behavior at 1799 characters - no countdown shows, message sends","53989","Message length limit (1799 chars) @ios @high-risk @1-devices","Sending Messages","Fri Jan 09 15:07:07 AEDT 2026","passed","Fri Jan 09 15:08:01 AEDT 2026","","Rules","",""
"Verifies that an emoji reaction can be sent and is received in a community","114687","Send emoji react community @ios @medium-risk @2-devices","Sending Messages","Fri Jan 09 14:29:17 AEDT 2026","passed","Fri Jan 09 14:31:12 AEDT 2026","","Emoji reacts","",""
"Verifies that an emoji reaction can be sent and is received in a group.","42334","Send emoji react groups @ios @high-risk @3-devices","Sending Messages","Fri Jan 09 14:51:15 AEDT 2026","passed","Fri Jan 09 14:51:57 AEDT 2026","","Emoji reacts","",""
"Verifies message length behavior at 1800 characters - countdown shows 200, message sends","53287","Message length limit (1800 chars) @ios @high-risk @1-devices","Sending Messages","Fri Jan 09 15:06:55 AEDT 2026","passed","Fri Jan 09 15:07:49 AEDT 2026","","Rules","",""
"Verifies that 'Disappear After Read' can be set in a 1:1 conversation, and that a message disappears after the specified expiry time.","78261","Disappear after read @ios @high-risk @2-devices","Disappearing Messages","Fri Jan 09 14:34:05 AEDT 2026","passed","Fri Jan 09 14:35:23 AEDT 2026","","Conversation Types","",""
"Verifies that Disappearing Messages can be set in Note to Self, and that a message disappears after the specified expiry time.","61947","Disappear after send note to self @ios @medium-risk @1-devices","Disappearing Messages","Fri Jan 09 14:34:33 AEDT 2026","passed","Fri Jan 09 14:35:35 AEDT 2026","","Conversation Types","",""
"Verifies that the 'Invite a Friend' share functionality opens the native share sheet and the user's Account ID is present in the message.","18877","Invite a friend @ios @medium-risk @1-devices","New Conversation","Fri Jan 09 14:57:27 AEDT 2026","passed","Fri Jan 09 14:57:46 AEDT 2026","","Invite a Friend","",""
