"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that the Settings page screen layout matches the expected baseline","15989","Check Settings page layout @android @high-risk @1-devices","Visual Checks","Fri Nov 21 11:56:39 AEDT 2025","passed","Fri Nov 21 11:56:55 AEDT 2025","","Settings","",""
"Verifies that a video can be sent to a group, all members receive the document, and replying to a document works as expected","72019","Send video to group @android @medium-risk @3-devices","Sending Messages","Fri Nov 21 12:37:52 AEDT 2025","passed","Fri Nov 21 12:39:04 AEDT 2025","","Message types","",""
"Verifies message length behavior at 1800 characters - countdown shows 200, message sends","26176","Message length limit (1800 chars) @android @high-risk @1-devices","Sending Messages","Fri Nov 21 11:54:31 AEDT 2025","passed","Fri Nov 21 11:54:57 AEDT 2025","","Rules","",""
"","47397","Check performance @android @low-risk @2-devices","","Fri Nov 21 12:10:29 AEDT 2025","passed","Fri Nov 21 12:11:16 AEDT 2025","","message_check_performance.spec.ts","",""
"","14186","Warning modal on new account @android @medium-risk @1-devices","","Fri Nov 21 11:57:19 AEDT 2025","passed","Fri Nov 21 11:57:34 AEDT 2025","","warning_modal_new_account.spec.ts","",""
"Verifies that a voice message disappears as expected in a 1:1 conversation","73088","Disappearing voice message 1:1 @android @low-risk @2-devices","Disappearing Messages","Fri Nov 21 12:07:27 AEDT 2025","passed","Fri Nov 21 12:08:40 AEDT 2025","","Message Types","",""
"Verifies that the Conversations settings screen layout matches the expected baseline","21757","Check Conversations settings layout @android @high-risk @1-devices","Visual Checks","Fri Nov 21 11:56:55 AEDT 2025","passed","Fri Nov 21 11:57:17 AEDT 2025","","Settings","",""
"Verifies that an image disappears as expected in a 1:1 conversation","74979","Disappearing image message 1:1 @android @low-risk @2-devices","Disappearing Messages","Fri Nov 21 12:05:46 AEDT 2025","passed","Fri Nov 21 12:07:01 AEDT 2025","","Message Types","",""
"Verifies that an emoji reaction can be sent and is received in a community","36921","Send emoji react community @android @medium-risk @2-devices","Sending Messages","Fri Nov 21 11:59:38 AEDT 2025","failed","Fri Nov 21 12:00:15 AEDT 2025","","Emoji reacts","",""
"","37153","Send community invitation @android @medium-risk @2-devices","","Fri Nov 21 12:11:24 AEDT 2025","failed","Fri Nov 21 12:12:01 AEDT 2025","","message_community_invitation.spec.ts","",""
"Verifies that a link with preview can be sent to a group, all members receive the document, and replying to a document works as expected","56483","Send link to group @android @high-risk @3-devices","Sending Messages","Fri Nov 21 12:35:31 AEDT 2025","passed","Fri Nov 21 12:36:28 AEDT 2025","","Message types","",""
"Verifies that an image can be sent to a group, all members receive the document, and replying to a document works as expected","59959","Send image to group @android @high-risk @3-devices","Sending Messages","Fri Nov 21 12:34:31 AEDT 2025","passed","Fri Nov 21 12:35:31 AEDT 2025","","Message types","",""
"Verifies that the latest release banner is present on the Invite Contacts screen","27054","Invite contacts banner @android @medium-risk @3-devices","Groups","Fri Nov 21 12:47:54 AEDT 2025","passed","Fri Nov 21 12:48:21 AEDT 2025","","Edit Group","",""
"Verifies that a user can set a nickname for a contact and that it appears correctly in the conversation settings, conversation header and home screen.","30587","Set nickname @android @high-risk @2-devices","User Actions","Fri Nov 21 12:18:23 AEDT 2025","passed","Fri Nov 21 12:18:53 AEDT 2025","","Set Nickname","",""
"","20548","Create user @android @high-risk @1-devices","","Fri Nov 21 11:56:19 AEDT 2025","passed","Fri Nov 21 11:56:39 AEDT 2025","","user_actions_create_user.spec.ts","",""
"","39122","Send link 1:1 @android @high-risk @2-devices","","Fri Nov 21 12:13:13 AEDT 2025","passed","Fri Nov 21 12:13:52 AEDT 2025","","message_link_preview.spec.ts","",""
"Verifies that joining a community works and the conversation syncs to a linked device","34796","Join community test @android @high-risk @2-devices","New Conversation","Fri Nov 21 12:02:19 AEDT 2025","failed","Fri Nov 21 12:02:54 AEDT 2025","","Join Community","",""
"Verifies that a voice message can be sent to a group, all members receive the document, and replying to a document works as expected","53950","Send voice message to group @android @high-risk @3-devices","Sending Messages","Fri Nov 21 12:39:04 AEDT 2025","passed","Fri Nov 21 12:39:58 AEDT 2025","","Message types","",""
"","42874","Accept message request with text @android @high-risk @2-devices","","Fri Nov 21 12:14:27 AEDT 2025","passed","Fri Nov 21 12:15:09 AEDT 2025","","message_requests_accept_text_reply.spec.ts","",""
"Verifies that a user's avatar color is consistent across linked devices.","21575","Avatar color linked device @android @medium-risk @2-devices","Visual Checks","Fri Nov 21 12:09:06 AEDT 2025","passed","Fri Nov 21 12:09:27 AEDT 2025","","Onboarding","",""
"Verifies that the landing page for a new account matches the expected baseline","20427","Check landing page (new account) layout @android @low-risk @1-devices","Visual Checks","Fri Nov 21 11:54:12 AEDT 2025","passed","Fri Nov 21 11:54:32 AEDT 2025","","Onboarding","",""
"Verifies that local deletion in a group does not delete a message for other participants.","38502","Delete message locally in group @android @high-risk @3-devices","User Actions","Fri Nov 21 12:31:31 AEDT 2025","passed","Fri Nov 21 12:32:10 AEDT 2025","","Delete Message","",""
"","48810","Delete conversation from conversation list @android @high-risk @3-devices","User Actions","Fri Nov 21 13:08:34 AEDT 2025","passed","Fri Nov 21 13:09:23 AEDT 2025","","Delete Conversation","",""
