"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that an emoji reaction can be sent and is received in a community","105979","Send emoji react community @ios @medium-risk @2-devices","Sending Messages","Tue Sep 30 17:11:53 AEST 2025","passed","Tue Sep 30 17:13:39 AEST 2025","","Emoji reacts","",""
"","70258","Block message request in conversation @ios @high-risk @3-devices","","Tue Sep 30 17:41:22 AEST 2025","passed","Tue Sep 30 17:42:33 AEST 2025","","message_requests_block.spec.ts","",""
"","42861","Mentions for groups @ios @medium-risk @3-devices","","Tue Sep 30 17:31:02 AEST 2025","passed","Tue Sep 30 17:31:45 AEST 2025","","group_tests_mentions.spec.ts","",""
"Verifies that a link preview disappears as expected in a group conversation","83984","Disappearing link to group @ios @low-risk @3-devices","Disappearing Messages","Tue Sep 30 17:22:10 AEST 2025","passed","Tue Sep 30 17:23:34 AEST 2025","","Message Types","",""
"","114861","Restore group @ios @high-risk @4-devices","","Tue Sep 30 17:34:24 AEST 2025","passed","Tue Sep 30 17:36:19 AEST 2025","","linked_device_restore_group.spec.ts","",""
"Verifies that a voice note disappears as expected in a group conversation","76093","Disappearing voice message to group @ios @low-risk @3-devices","Disappearing Messages","Tue Sep 30 17:23:34 AEST 2025","passed","Tue Sep 30 17:24:50 AEST 2025","","Message Types","",""
"","49332","Change group name @ios @medium-risk @3-devices","","Tue Sep 30 17:29:19 AEST 2025","passed","Tue Sep 30 17:30:08 AEST 2025","","group_tests_change_group_name.spec.ts","",""
"","56196","Send video to group @ios @medium-risk @3-devices","","Tue Sep 30 17:28:21 AEST 2025","failed","Tue Sep 30 17:29:17 AEST 2025","","group_message_video.spec.ts","",""
"Verifies that the in-app review prompt shows after the user presses the Donate button in Settings","17024","Review prompt Donate trigger @ios @high-risk @1-devices","In-App Review Prompt","Tue Sep 30 17:44:29 AEST 2025","passed","Tue Sep 30 17:44:46 AEST 2025","","Triggers","",""
"","9338","Onboarding no seed @ios @low-risk @1-devices","","Tue Sep 30 17:31:38 AEST 2025","passed","Tue Sep 30 17:31:47 AEST 2025","","input_validations/onboarding_no_seed.spec.ts","",""
"Verifies that an image disappears as expected in a 1:1 conversation","89815","Disappearing image message 1:1 @ios @low-risk @2-devices","Disappearing Messages","Tue Sep 30 17:18:16 AEST 2025","passed","Tue Sep 30 17:19:46 AEST 2025","","Message Types","",""
"","61938","Send long message 1:1 @ios @low-risk @2-devices","","Tue Sep 30 17:40:20 AEST 2025","passed","Tue Sep 30 17:41:22 AEST 2025","","message_long_text.spec.ts","",""
"Verifies that the profile picture can be changed and the new picture is displayed correctly.","35055","Change profile picture @ios @medium-risk @1-devices","User Actions","Tue Sep 30 17:44:57 AEST 2025","passed","Tue Sep 30 17:45:32 AEST 2025","","Change Profile Picture","",""
"","19405","Network page learn more network link @ios @medium-risk @1-devices","","Tue Sep 30 17:43:11 AEST 2025","passed","Tue Sep 30 17:43:31 AEST 2025","","network_page_link_network.spec.ts","",""
"Verifies that an emoji reaction can be sent and is received in a 1-1 conversation.","66882","Send emoji react 1:1 @ios @high-risk @2-devices","Sending Messages","Tue Sep 30 17:40:33 AEST 2025","passed","Tue Sep 30 17:41:40 AEST 2025","","Emoji reacts","",""
"","160330","Leave group linked device @ios @high-risk @4-devices","","Tue Sep 30 17:38:04 AEST 2025","passed","Tue Sep 30 17:40:44 AEST 2025","","linked_group_leave.spec.ts","",""
"","51630","Send GIF to group @ios @medium-risk @3-devices","","Tue Sep 30 17:26:02 AEST 2025","passed","Tue Sep 30 17:26:54 AEST 2025","","group_message_gif.spec.ts","",""
"","1","Disappearing call message 1o1 @ios @low-risk @2-devices","","Tue Sep 30 17:16:27 AEST 2025","skipped","Tue Sep 30 17:16:27 AEST 2025","","disappearing_call.spec.ts","",""
"Verifies that a user can set a nickname for a contact and that it appears correctly in the conversation settings, conversation header and home screen.","29325","Set nickname @ios @high-risk @2-devices","User Actions","Tue Sep 30 17:47:00 AEST 2025","passed","Tue Sep 30 17:47:29 AEST 2025","","Set Nickname","",""
"Verifies that an image can be sent and received in a community","58918","Send image to community @ios @medium-risk @2-devices","Sending Messages","Tue Sep 30 17:13:34 AEST 2025","failed","Tue Sep 30 17:14:33 AEST 2025","","Attachments","",""
"Verifies that a blocked user syncs to a linked device","33077","Block user linked device @ios @high-risk @3-devices","User Actions","Tue Sep 30 17:33:05 AEST 2025","failed","Tue Sep 30 17:33:38 AEST 2025","","Block/Unblock","",""
