"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that a user's avatar color is consistent across linked devices.","22695","Avatar color linked device @ios @medium-risk @2-devices","Visual Checks","2026-02-27","passed","2026-02-27","","Onboarding","",""
"Verifies that a message request can be sent when Community Message Requests are on.","85531","Community message requests on @ios @medium-risk @2-devices","Settings","2026-02-27","passed","2026-02-27","","Community Message Requests","",""
"Verifies that an emoji reaction can be sent and is received in a group.","39847","Send emoji react groups @ios @high-risk @3-devices","Sending Messages","2026-02-27","passed","2026-02-27","","Emoji reacts","",""
"Verifies that the 'Invite a Friend' share functionality opens the native share sheet and the user's Account ID is present in the message.","24007","Invite a friend @ios @medium-risk @1-devices","New Conversation","2026-02-27","passed","2026-02-27","","Invite a Friend","",""
"Verifies that the profile picture change on one device is reflected on a linked device.","57821","Change profile picture linked device @ios @medium-risk @2-devices","User Actions","2026-02-27","passed","2026-02-27","","Change Profile Picture","",""
"Verifies that Disappearing Messages can be set in Note to Self, and that a message disappears after the specified expiry time.","77508","Disappear after send note to self @ios @medium-risk @1-devices","Disappearing Messages","2026-02-27","passed","2026-02-27","","Conversation Types","",""
"Verifies Note to Self can be hidden and then unhidden/shown again in the conversation settings","39993","Hide note to self @ios @low-risk @1-devices","User Actions","2026-02-27","passed","2026-02-27","","Hide Note to Self","",""
"","62648","Send long message 1:1 @ios @low-risk @2-devices","","2026-02-27","passed","2026-02-27","","message_long_text.spec.ts","",""
"Verifies that 'Delete for everyone' in a 1-1 deletes the message in the conversation view and on the home screen for both parties and a linked device.","43385","Unsent message syncs @ios @medium-risk @3-devices","User Actions","2026-02-27","failed","2026-02-27","","Delete Message","",""
"Verifies that a video disappears as expected in a group conversation","107921","Disappearing video to group @ios @low-risk @3-devices","Disappearing Messages","2026-02-27","passed","2026-02-27","","Message Types","",""
"Verifies that Hide Note To Self syncs to a linked device.","38487","Hide note to self linked device @ios @low-risk @2-devices","User Actions","2026-02-27","passed","2026-02-27","","Hide Note to Self","",""
"Verifies that a group description can be at most 200 chars and that every member can see a valid change.","91381","Change group description @ios @medium-risk @3-devices","Groups","2026-02-27","passed","2026-02-27","","Edit Group","",""
"Verifies that an emoji reaction can be sent and is received in a community","154633","Send emoji react community @ios @medium-risk @2-devices","Sending Messages","2026-02-27","passed","2026-02-27","","Emoji reacts","",""
"Verifies that the Privacy settings screen layout matches the expected baseline","16559","Check Privacy settings layout @ios @high-risk @1-devices","Visual Checks","2026-02-27","passed","2026-02-27","","Settings","",""
"","42348","Upload animated profile picture (non Pro) @ios @high-risk @1-devices","User Actions","2026-02-27","passed","2026-02-27","","Change Profile Picture","",""
"Verifies that when a message is deleted on one device, it shows as deleted on a linked device too.","33193","Delete message linked device @ios @high-risk @3-devices","User Actions","2026-02-27","passed","2026-02-27","","Delete Message","",""
"Verifies that a too long display name (101 bytes) throws the 'shorter display name' error as expected.","12087","Onboarding long name @ios @low-risk @1-devices","Onboarding","2026-02-27","passed","2026-02-27","","Input validations","",""
"Verifies that message bubbles appear as expected (oneline and multiline messages, reply layout, outgoing/incoming)","75940","Check message bubble layout @ios @high-risk @2-devices","Visual Checks","2026-02-27","failed","2026-02-27","","Conversation","",""
"","39810","Hide recovery password @ios @medium-risk @2-devices","","2026-02-27","passed","2026-02-27","","user_actions_hide_recovery_password.spec.ts","",""
"Verifies that a GIF can be sent to a group, all members receive the document, and replying to a document works as expected","61654","Send GIF to group @ios @medium-risk @3-devices","Sending Messages","2026-02-27","passed","2026-02-27","","Message types","",""
"Verifies voice call functionality and permission flow:
    - Verifies strings of all call permission prompts (microphone, notifications, etc.)
    - Verifies missed call notifications when recipient lacks permissions
    - Confirms successful call connection once both users enable permissions
    - Verifies control messages after call is finished
    Note that due to the nature of virtual devices, no actual ""talking"" takes place","65352","Voice calls @ios @high-risk @2-devices","Voice Calls","2026-02-27","passed","2026-02-27","","voice_calls.spec.ts","",""
"Verifies that a blocked user syncs to a linked device","45817","Block user linked device @ios @high-risk @3-devices","User Actions","2026-02-27","passed","2026-02-27","","Block/Unblock","",""
"Verifies that the landing page for a restored account matches the expected baseline","35335","Check landing page (restored account) layout @ios @low-risk @2-devices","Visual Checks","2026-02-27","passed","2026-02-27","","Onboarding","",""
