"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","66735","Send video to group @android @medium-risk @3-devices","","Thu Oct 09 14:17:47 AEDT 2025","passed","Thu Oct 09 14:18:54 AEDT 2025","","group_message_video.spec.ts","",""
"Verifies that a video disappears as expected in a 1:1 conversation","111073","Disappearing video message 1:1 @android @low-risk @2-devices","Disappearing Messages","Thu Oct 09 13:45:39 AEDT 2025","passed","Thu Oct 09 13:47:30 AEDT 2025","","Message Types","",""
"","26841","Edit group banner @android @medium-risk @3-devices","","Thu Oct 09 14:24:12 AEDT 2025","passed","Thu Oct 09 14:24:39 AEDT 2025","","group_tests_edit_group_banner.spec.ts","",""
"Verifies that the Notifications settings screen layout matches the expected baseline","18939","Check Notifications settings layout @android @high-risk @1-devices","Visual Checks","Thu Oct 09 13:37:13 AEDT 2025","passed","Thu Oct 09 13:37:32 AEDT 2025","","Settings","",""
"Verifies that the in-app review prompt only shows shows once after triggered","24902","Review prompt only once @android @medium-risk @1-devices","In-App Review Prompt","Thu Oct 09 13:36:11 AEDT 2025","passed","Thu Oct 09 13:36:36 AEDT 2025","","Triggers","",""
"Verifies that a blocked user syncs to a linked device","38223","Block user linked device @android @high-risk @3-devices","User Actions","Thu Oct 09 14:27:09 AEDT 2025","passed","Thu Oct 09 14:27:47 AEDT 2025","","Block/Unblock","",""
"","9810","Onboarding wrong seed @android @low-risk @1-devices","","Thu Oct 09 13:34:55 AEDT 2025","passed","Thu Oct 09 13:35:05 AEDT 2025","","input_validations/onboarding_wrong_seed.spec.ts","",""
"Verifies that Disappearing Messages can be set in a group conversation, and that a message disappears after the specified expiry time.","66430","Disappear after send groups @android @high-risk @3-devices","Disappearing Messages","Thu Oct 09 14:02:15 AEDT 2025","passed","Thu Oct 09 14:03:21 AEDT 2025","","Conversation Types","",""
"","62351","Send GIF 1:1 @android @medium-risk @2-devices","","Thu Oct 09 13:50:32 AEDT 2025","passed","Thu Oct 09 13:51:34 AEDT 2025","","message_gif.spec.ts","",""
"Verifies message length behavior at 2001 characters - countdown shows -1, cannot send message","29649","Message length limit (2001 chars) @android @high-risk @1-devices","Sending Messages","Thu Oct 09 13:35:25 AEDT 2025","passed","Thu Oct 09 13:35:55 AEDT 2025","","Rules","",""
"Verifies that a link preview disappears as expected in a group conversation","76955","Disappearing link to group @android @low-risk @3-devices","Disappearing Messages","Thu Oct 09 14:07:21 AEDT 2025","passed","Thu Oct 09 14:08:38 AEDT 2025","","Message Types","",""
"Verifies that an image disappears as expected in a 1:1 conversation","70540","Disappearing image message 1:1 @android @low-risk @2-devices","Disappearing Messages","Thu Oct 09 13:44:29 AEDT 2025","passed","Thu Oct 09 13:45:39 AEDT 2025","","Message Types","",""
"Verifies that an emoji reaction can be sent and is received in a community","73139","Send emoji react community @android @medium-risk @2-devices","Sending Messages","Thu Oct 09 13:39:11 AEDT 2025","failed","Thu Oct 09 13:40:24 AEDT 2025","","Emoji reacts","",""
"Verifies Note to Self can be hidden and then unhidden/shown again in the conversation settings","45222","Hide note to self @android @low-risk @1-devices","User Actions","Thu Oct 09 13:36:54 AEDT 2025","passed","Thu Oct 09 13:37:40 AEDT 2025","","Hide Note to Self","",""
"Verifies that the profile picture change on one device is reflected on a linked device.","34326","Change profile picture linked device @android @medium-risk @2-devices","User Actions","Thu Oct 09 13:48:40 AEDT 2025","passed","Thu Oct 09 13:49:14 AEDT 2025","","Change Profile Picture","",""
"Verifies that a voice note disappears as expected in a group conversation","70723","Disappearing voice message to group @android @low-risk @3-devices","Disappearing Messages","Thu Oct 09 14:10:53 AEDT 2025","passed","Thu Oct 09 14:12:04 AEDT 2025","","Message Types","",""
"","49525","Send link to group @android @high-risk @3-devices","","Thu Oct 09 14:15:43 AEDT 2025","passed","Thu Oct 09 14:16:33 AEDT 2025","","group_message_link_preview.spec.ts","",""
"Verifies that the landing page for a restored account matches the expected baseline","30654","Check landing page (restored account) layout @android @low-risk @2-devices","Visual Checks","Thu Oct 09 13:47:41 AEDT 2025","passed","Thu Oct 09 13:48:11 AEDT 2025","","Onboarding","",""
