"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47108","Unsend message in group @ios @high-risk @3-devices","","Fri Aug 22 12:16:42 AEST 2025","passed","Fri Aug 22 12:17:29 AEST 2025","","group_message_unsend.spec.ts","",""
"","38298","Read status @ios @medium-risk @2-devices","","Fri Aug 22 12:43:15 AEST 2025","passed","Fri Aug 22 12:43:53 AEST 2025","","user_actions_read_status.spec.ts","",""
"","77024","Block message request in conversation @ios @high-risk @3-devices","","Fri Aug 22 12:37:49 AEST 2025","passed","Fri Aug 22 12:39:06 AEST 2025","","message_requests_block.spec.ts","",""
"","44505","Delete message in group @ios @high-risk @3-devices","","Fri Aug 22 12:14:51 AEST 2025","passed","Fri Aug 22 12:15:36 AEST 2025","","group_message_delete.spec.ts","",""
"Verifies that an image can be sent and received in a community","41496","Send image to community @ios @medium-risk @2-devices","Sending Messages","Fri Aug 22 12:04:06 AEST 2025","failed","Fri Aug 22 12:04:48 AEST 2025","","Attachments","",""
"","86638","Check performance @ios @low-risk @2-devices","","Fri Aug 22 12:27:50 AEST 2025","passed","Fri Aug 22 12:29:17 AEST 2025","","message_check_performance.spec.ts","",""
"Verifies that a user's placeholder avatar color appears the same to a contact","25213","Avatar color @ios @medium-risk @2-devices","Visual Checks","Fri Aug 22 12:03:05 AEST 2025","passed","Fri Aug 22 12:03:30 AEST 2025","","check_avatar_color.spec.ts","",""
"","40459","Delete conversation from conversation list @ios @high-risk @3-devices","User Actions","Fri Aug 22 12:42:35 AEST 2025","passed","Fri Aug 22 12:43:15 AEST 2025","","Delete Conversation","",""
"","11067","Onboarding no seed @ios @low-risk @1-devices","","Fri Aug 22 12:22:43 AEST 2025","passed","Fri Aug 22 12:22:54 AEST 2025","","input_validations/onboarding_no_seed.spec.ts","",""
"Verifies that a user can set a nickname for a contact and that it appears correctly in the conversation settings, conversation header and home screen.","31506","Set nickname @ios @high-risk @2-devices","User Actions","Fri Aug 22 12:43:23 AEST 2025","passed","Fri Aug 22 12:43:54 AEST 2025","","Set Nickname","",""
"Verifies that turning off Disappearing Messages works as expected in a 1:1 conversation","94442","Disappear after send off 1:1 @ios @high-risk @3-devices","Disappearing Messages","Fri Aug 22 12:05:56 AEST 2025","passed","Fri Aug 22 12:07:30 AEST 2025","","Conversation Types","",""
"","50928","Leave group @ios @high-risk @3-devices","","Fri Aug 22 12:21:39 AEST 2025","passed","Fri Aug 22 12:22:30 AEST 2025","","group_tests_leave_group.spec.ts","",""
"","44319","Mentions for groups @ios @medium-risk @3-devices","","Fri Aug 22 12:22:28 AEST 2025","passed","Fri Aug 22 12:23:12 AEST 2025","","group_tests_mentions.spec.ts","",""
"Verifies that a GIF disappears as expected in a group conversation","72996","Disappearing GIF to group @ios @low-risk @3-devices","Disappearing Messages","Fri Aug 22 12:11:25 AEST 2025","passed","Fri Aug 22 12:12:38 AEST 2025","","Message Types","",""
"Verifies that a group member can be kicked from a group and that the kicked member is removed from the group.","44820","Kick member @ios @medium-risk @3-devices","Groups","Fri Aug 22 12:21:43 AEST 2025","passed","Fri Aug 22 12:22:28 AEST 2025","","Edit Group","",""
"","20948","Network page learn more network link @ios @medium-risk @1-devices","","Fri Aug 22 12:40:13 AEST 2025","passed","Fri Aug 22 12:40:34 AEST 2025","","network_page_link_network.spec.ts","",""
"Verifies that the STF donation link is correct and that the HTTP request is successful (200)","24017","Donate linkout @ios @high-risk @1-devices","Linkouts","Fri Aug 22 12:11:24 AEST 2025","passed","Fri Aug 22 12:11:48 AEST 2025","","donate.spec.ts","",""
"","45069","Hide note to self linked device @ios @low-risk @2-devices","User Actions","Fri Aug 22 12:24:58 AEST 2025","passed","Fri Aug 22 12:25:44 AEST 2025","","Hide Note to Self","",""
"","255733","Create group and change name syncs @ios @high-risk @4-devices","","Fri Aug 22 12:31:44 AEST 2025","passed","Fri Aug 22 12:35:59 AEST 2025","","linked_device_create_group.spec.ts","",""
"Verifies that 'Disappear After Send' works as expected in a 1:1 conversation","85674","Disappear after send @ios @high-risk @2-devices","Disappearing Messages","Fri Aug 22 12:06:18 AEST 2025","passed","Fri Aug 22 12:07:44 AEST 2025","","Conversation Types","",""
"Verifies that a voice message disappears as expected in a 1:1 conversation","81977","Disappearing voice message 1:1 @ios @low-risk @2-devices","Disappearing Messages","Fri Aug 22 12:11:33 AEST 2025","failed","Fri Aug 22 12:12:55 AEST 2025","","Message Types","",""
"","42223","Delete conversation from conversation settings @ios @high-risk @3-devices","User Actions","Fri Aug 22 12:42:01 AEST 2025","passed","Fri Aug 22 12:42:43 AEST 2025","","Delete Conversation","",""
"","25364","Change username @ios @medium-risk @1-devices","","Fri Aug 22 12:41:14 AEST 2025","passed","Fri Aug 22 12:41:40 AEST 2025","","user_actions_change_username.spec.ts","",""
"Verifies Note to Self can be hidden and then unhidden/shown again in the conversation settings","40409","Hide note to self @ios @low-risk @1-devices","User Actions","Fri Aug 22 12:42:43 AEST 2025","passed","Fri Aug 22 12:43:24 AEST 2025","","Hide Note to Self","",""
"","12985","Onboarding long name @ios @low-risk @1-devices","","Fri Aug 22 12:22:30 AEST 2025","passed","Fri Aug 22 12:22:43 AEST 2025","","input_validations/onboarding_long_name.spec.ts","",""
"","64465","Delete message request in conversation @ios @high-risk @3-devices","","Fri Aug 22 12:38:36 AEST 2025","passed","Fri Aug 22 12:39:41 AEST 2025","","message_requests_decline.spec.ts","",""
"","22582","Network page learn more staking link @ios @medium-risk @1-devices","","Fri Aug 22 12:40:30 AEST 2025","passed","Fri Aug 22 12:40:53 AEST 2025","","network_page_link_staking.spec.ts","",""
