"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies message length behavior at 2000 characters - countdown shows 0, message sends","59835","Message length limit (2000 chars) @ios @high-risk @1-devices","Sending Messages","Fri Nov 28 16:07:58 AEDT 2025","passed","Fri Nov 28 16:08:57 AEDT 2025","","Rules","",""
"","82973","Block message request in conversation @ios @high-risk @3-devices","","Fri Nov 28 16:10:21 AEDT 2025","passed","Fri Nov 28 16:11:44 AEDT 2025","","message_requests_block.spec.ts","",""
"","1","Disappearing call message 1o1 @ios @low-risk @2-devices","","Fri Nov 28 15:44:29 AEDT 2025","skipped","Fri Nov 28 15:44:29 AEDT 2025","","disappearing_call.spec.ts","",""
"Verifies that 'Delete for everyone' in a 1-1 deletes the message in the conversation view and on the home screen for both parties and a linked device.","59650","Unsent message syncs @ios @medium-risk @3-devices","User Actions","Fri Nov 28 16:04:09 AEDT 2025","passed","Fri Nov 28 16:05:08 AEDT 2025","","Delete Message","",""
"Verifies that a user's placeholder avatar color appears the same to a contact","282481","Check placeholder avatar color @ios @medium-risk @2-devices","Visual Checks","Fri Nov 28 15:38:22 AEDT 2025","passed","Fri Nov 28 15:43:04 AEDT 2025","","Settings","",""
"Verifies that a group name change syncs to every member.","48310","Change group name @ios @medium-risk @3-devices","Groups","Fri Nov 28 15:59:17 AEDT 2025","passed","Fri Nov 28 16:00:05 AEDT 2025","","Edit Group","",""
"Verifies that the landing page for a new account matches the expected baseline","19229","Check landing page (new account) layout @ios @low-risk @1-devices","Visual Checks","Fri Nov 28 16:01:38 AEDT 2025","passed","Fri Nov 28 16:01:57 AEDT 2025","","Onboarding","",""
"Verifies that a group (and its messages) created on one device appears when restoring on a second device.","111686","Restore group @ios @high-risk @4-devices","Groups","Fri Nov 28 16:03:33 AEDT 2025","passed","Fri Nov 28 16:05:25 AEDT 2025","","Create Group","",""
"Verifies that the in-app review prompt shows after the user sets a different theme","20706","Review prompt Appearance trigger @ios @high-risk @1-devices","In-App Review Prompt","Fri Nov 28 16:15:03 AEDT 2025","passed","Fri Nov 28 16:15:23 AEDT 2025","","Triggers","",""
"Verifies that 'Disappear After Read' can be set in a 1:1 conversation, and that a message disappears after the specified expiry time.","69786","Disappear after read @ios @high-risk @2-devices","Disappearing Messages","Fri Nov 28 15:42:14 AEDT 2025","passed","Fri Nov 28 15:43:24 AEDT 2025","","Conversation Types","",""
"Verifies that a group member can be kicked from a group and that the kicked member is removed from the group.","41852","Kick member @ios @medium-risk @3-devices","Groups","Fri Nov 28 16:00:06 AEDT 2025","passed","Fri Nov 28 16:00:47 AEDT 2025","","Edit Group","",""
"Verifies that a link preview disappears as expected in a 1:1 conversation","114013","Disappearing link message 1:1 @ios @low-risk @2-devices","Disappearing Messages","Fri Nov 28 15:46:27 AEDT 2025","passed","Fri Nov 28 15:48:21 AEDT 2025","","Message Types","",""
"Verifies that Disappearing Messages can be set in a group conversation, and that a message disappears after the specified expiry time.","75533","Disappear after send groups @ios @high-risk @3-devices","Disappearing Messages","Fri Nov 28 15:43:04 AEDT 2025","passed","Fri Nov 28 15:44:20 AEDT 2025","","Conversation Types","",""
"Verifies that the ""Learn More"" link on the Network Page opens the correct URL in the device browser.","22267","Network page learn more network link @ios @medium-risk @1-devices","Network Page","Fri Nov 28 16:12:48 AEDT 2025","passed","Fri Nov 28 16:13:11 AEDT 2025","","network_page_link_network.spec.ts","",""
"Verifies that a user can be blocked from the conversation settings","43265","Block user in conversation settings @ios @high-risk @2-devices","User Actions","Fri Nov 28 16:15:06 AEDT 2025","passed","Fri Nov 28 16:15:49 AEDT 2025","","Block/Unblock","",""
"Sends a message 10 times in a 1-1 and logs the sending time","49262","Check performance @ios @low-risk @2-devices","Sending Messages","Fri Nov 28 16:05:09 AEDT 2025","passed","Fri Nov 28 16:05:58 AEDT 2025","","Performance","",""
"Verifies that a blocked user syncs to a linked device","38415","Block user linked device @ios @high-risk @3-devices","User Actions","Fri Nov 28 16:01:57 AEDT 2025","passed","Fri Nov 28 16:02:36 AEDT 2025","","Block/Unblock","",""
"Verifies that a voice message can be sent to a group, all members receive the document, and replying to a document works as expected","53574","Send voice message to group @ios @high-risk @3-devices","Sending Messages","Fri Nov 28 15:57:38 AEDT 2025","passed","Fri Nov 28 15:58:31 AEDT 2025","","Message types","",""
"Verifies that a link preview disappears as expected in a group conversation","98808","Disappearing link to group @ios @low-risk @3-devices","Disappearing Messages","Fri Nov 28 15:49:10 AEDT 2025","passed","Fri Nov 28 15:50:49 AEDT 2025","","Message Types","",""
"","90316","Create contact @ios @high-risk @3-devices","","Fri Nov 28 16:15:49 AEDT 2025","passed","Fri Nov 28 16:17:19 AEDT 2025","","user_actions_create_contact.spec.ts","",""
"Verifies that joining a community works and the conversation syncs to a linked device","47487","Join community test @ios @high-risk @2-devices","New Conversation","Fri Nov 28 15:41:27 AEDT 2025","passed","Fri Nov 28 15:42:14 AEDT 2025","","Join Community","",""
"Verifies that the Appearance settings screen layout matches the expected baseline","17815","Check Appearance settings layout @ios @high-risk @1-devices","Visual Checks","Fri Nov 28 16:19:54 AEDT 2025","passed","Fri Nov 28 16:20:12 AEDT 2025","","Settings","",""
